tipo_celular,module_size,SYN2_MM,SYN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,24,6.8,1.88 (1.40-2.35),329,93.2,4.08 (3.90-4.27),22.07,7.04
GABA neurons expressing GLU receptors 22,459.0,0.319,92.0,165,4,2.42,1.62 (0.72-2.52),161,97.58,5.19 (4.86-5.52),4.15,4.09
GLU like neurons 17,795.0,0.117,42.0,80,4,5.0,4.35 (NA-NA),76,95.0,5.70 (5.29-6.12),2.35,3.05
da like neurons 11,289.0,0.273,83.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,265.0,0.225,77.0,78,22,28.21,4.00 (3.19-4.81),56,71.79,4.47 (3.99-4.95),4.18,4.30
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.204,49.0,306,19,6.21,2.92 (2.13-3.71),287,93.79,5.30 (5.04-5.56),10.42,6.46
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,18,6.52,2.39 (1.95-2.83),258,93.48,3.65 (3.42-3.88),5.82,5.06
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.264,99.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
