tipo_celular,module_size,CRKL_MM,CRKL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.142,41.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,44,12.46,2.05 (1.71-2.40),309,87.54,4.23 (4.05-4.42),24.64,5.70
GABA neurons expressing GLU receptors 22,703.0,0.195,57.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.104,17.0,410,10,2.44,3.11 (2.02-4.21),400,97.56,4.27 (4.09-4.46),9.25,7.47
GABA neurons expressing GABA receptors 13,77.0,0.143,32.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,303.0,0.047,3.0,54,2,3.7,5.24 (NA-NA),52,96.3,4.83 (4.18-5.47),1.47,5.17
oligodendrocytes 20,676.0,0.032,10.0,110,19,17.27,3.63 (2.88-4.38),91,82.73,5.40 (4.91-5.89),3.19,3.59
GABA like neurons 14,2402.0,0.089,6.0,455,27,5.93,1.94 (1.36-2.52),428,94.07,4.55 (4.37-4.73),21.08,8.06
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,39,14.13,2.22 (1.90-2.54),237,85.87,3.82 (3.59-4.06),11.28,4.09
oligodendrocytes 10,735.0,0.071,30.0,277,1,0.36,4.81 (NA-NA),276,99.64,3.89 (3.65-4.13),1.34,8.97
connective tissue cells 21,86.0,0.297,64.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22),1.55,1.45
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.264,82.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,307.0,0.1,31.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,94.0,0.407,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.112,45.0,238,8,3.36,2.68 (1.90-3.46),230,96.64,3.68 (3.45-3.90),5.02,5.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.04,3.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.174,97.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
