tipo_celular,module_size,PPP1R13B_MM,PPP1R13B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,477.0,0.093,7.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,932.0,0.104,42.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.193,68.0,127,8,6.3,1.96 (1.26-2.67),119,93.7,4.02 (3.69-4.36),4.61,5.92
GABA neurons expressing GLU receptors 22,823.0,0.198,63.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247.0,0.17,72.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.19,81.0,133,13,9.77,1.74 (1.06-2.41),120,90.23,3.45 (3.13-3.78),6.30,3.93
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.312,81.0,120,8,6.67,2.46 (2.05-2.88),112,93.33,4.78 (4.47-5.10),6.63,3.44
oligodendrocytes 20,358.0,0.373,95.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,1300.0,0.296,87.0,306,15,4.9,2.03 (1.52-2.55),291,95.1,5.33 (5.08-5.58),5.16,6.79
astrocytes 8,577.0,0.074,41.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,3303.0,0.061,28.0,276,10,3.62,1.91 (1.29-2.52),266,96.38,3.62 (3.40-3.84),20.93,4.52
oligodendrocytes 10,1277.0,0.03,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,118.0,0.273,34.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,367.0,0.156,58.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,87.0,0.209,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.23,10.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,721.0,0.136,22.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.095,14.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.075,32.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.123,18.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
