tipo_celular,module_size,COQ4_MM,COQ4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.1,25.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50),11.17,4.94
oligodendrocyte progenitor cells 7,4285.0,0.08,2.0,353,16,4.53,1.01 (0.68-1.33),337,95.47,4.07 (3.89-4.24),35.69,6.75
GABA neurons expressing GLU receptors 22,848.0,0.111,9.0,262,5,1.91,0.92 (0.39-1.44),257,98.09,4.25 (4.01-4.49),4.79,4.09
GLU like neurons 17,489.0,0.09,18.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,109.0,0.068,0.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.199,77.0,18,7,38.89,0.63 (0.47-0.80),11,61.11,2.67 (1.87-3.48),5.65,2.61
GABA like neurons 14,2090.0,0.117,24.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,577.0,0.035,6.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,708.0,0.036,5.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75),4.13,2.24
oligodendrocytes 10,735.0,0.064,24.0,277,1,0.36,3.42 (NA-NA),276,99.64,3.90 (3.65-4.14),2.58,8.97
connective tissue cells 21,95.0,0.469,99.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59),NA,1.71
astrocytes 15,443.0,0.225,89.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,155.0,0.322,93.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.353,66.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807.0,0.131,26.0,104,8,7.69,0.99 (0.56-1.41),96,92.31,3.03 (2.75-3.31),14.85,4.61
oligodendrocytes 0,2078.0,0.078,3.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.06,25.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.127,23.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
