tipo_celular,module_size,CDC73_MM,CDC73_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.141,28.0,102,41,40.2,2.53 (2.17-2.89),61,59.8,4.15 (3.66-4.64),3.71,2.58
T cells 18,477.0,0.127,26.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141.0,0.139,62.0,166,49,29.52,2.46 (2.16-2.77),117,70.48,3.89 (3.59-4.20),5.65,4.09
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,82,23.23,2.52 (2.23-2.81),271,76.77,4.41 (4.22-4.60),17.03,5.35
GABA neurons expressing GLU receptors 22,1069.0,0.112,14.0,37,6,16.22,2.36 (1.87-2.85),31,83.78,2.11 (1.56-2.66),2.42,3.23
GLU like neurons 17,637.0,0.163,53.0,91,15,16.48,2.01 (1.16-2.86),76,83.52,5.26 (4.79-5.73),2.88,3.09
da like neurons 11,142.0,0.347,81.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.146,65.0,297,22,7.41,3.75 (3.41-4.09),275,92.59,3.67 (3.45-3.89),4.19,5.62
oligodendrocytes 20,938.0,0.019,1.0,169,5,2.96,1.80 (-0.43-4.03),164,97.04,3.53 (3.32-3.74),3.75,5.41
GABA like neurons 14,3052.0,0.173,78.0,125,10,8.0,5.24 (3.74-6.75),115,92.0,3.23 (2.91-3.55),3.33,9.07
astrocytes 8,577.0,0.047,16.0,83,4,4.82,2.52 (0.55-4.49),79,95.18,3.30 (2.84-3.76),2.10,4.59
oligodendrocyte progenitor cells 12,708.0,0.074,28.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.192,66.0,358,100,27.93,2.61 (2.34-2.88),258,72.07,4.54 (4.34-4.73),19.05,5.76
connective tissue cells 21,139.0,0.21,7.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,338.0,0.137,41.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,199.0,0.167,49.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,54.0,0.234,17.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,721.0,0.146,40.0,61,2,3.28,3.13 (2.98-3.28),59,96.72,2.96 (2.53-3.39),1.46,6.17
oligodendrocytes 0,1186.0,0.174,90.0,300,30,10.0,3.78 (3.39-4.17),270,90.0,3.79 (3.57-4.02),4.06,4.17
microglia 1,813.0,0.103,32.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.126,81.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.164,64.0,84,7,8.33,1.20 (0.51-1.89),77,91.67,2.83 (2.49-3.18),2.62,3.47
