tipo_celular,module_size,COTL1_MM,COTL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.47,100.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91),1.35,3.25
T cells 18,477.0,0.239,87.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423.0,0.12,29.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,23,6.52,1.67 (1.22-2.12),330,93.48,4.08 (3.90-4.26),28.12,6.67
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.09,11.0,410,26,6.34,3.28 (2.65-3.91),384,93.66,4.29 (4.10-4.48),14.02,7.08
GABA neurons expressing GABA receptors 13,77.0,0.146,35.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.105,10.0,455,35,7.69,2.43 (1.85-3.01),420,92.31,4.49 (4.31-4.68),21.67,7.77
astrocytes 8,1266.0,0.122,78.0,66,20,30.3,1.97 (1.37-2.56),46,69.7,3.91 (3.48-4.33),3.76,2.60
oligodendrocyte progenitor cells 12,1049.0,0.08,41.0,235,13,5.53,3.55 (3.10-4.01),222,94.47,3.83 (3.59-4.07),9.14,7.52
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,82.0,0.303,73.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,1401.0,0.121,77.0,96,19,19.79,4.36 (3.62-5.10),77,80.21,3.41 (2.88-3.93),4.39,3.65
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.236,31.0,57,2,3.51,3.79 (NA-NA),55,96.49,2.63 (2.26-2.99),1.95,3.38
astrocytes 4,721.0,0.122,8.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.107,44.0,290,12,4.14,2.16 (1.53-2.79),278,95.86,3.91 (3.67-4.14),4.46,5.02
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
