tipo_celular,module_size,NLGN4Y_MM,NLGN4Y_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.108,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.188,79.0,219,36,16.44,5.75 (5.06-6.45),183,83.56,5.10 (4.78-5.41),7.00,4.14
GABA neurons expressing GLU receptors 22,848.0,0.226,56.0,262,24,9.16,3.87 (3.17-4.56),238,90.84,4.20 (3.94-4.47),5.85,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,289.0,0.124,23.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.209,80.0,18,1,5.56,2.74 (NA-NA),17,94.44,1.83 (1.12-2.54),1.49,3.93
GABA like neurons 14,1300.0,0.36,98.0,306,53,17.32,3.95 (3.30-4.60),253,82.68,5.40 (5.14-5.67),9.85,6.05
astrocytes 8,771.0,0.067,24.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24),1.67,3.21
oligodendrocyte progenitor cells 12,411.0,0.496,98.0,103,15,14.56,6.03 (5.05-7.00),88,85.44,5.44 (5.02-5.86),4.38,2.86
oligodendrocytes 10,1277.0,0.177,83.0,27,1,3.7,NA,26,96.3,5.41 (4.54-6.27),1.43,6.57
connective tissue cells 21,96.0,0.197,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.177,70.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,85.0,0.21,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,46.0,0.226,29.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38),NA,5.27
astrocytes 4,255.0,0.121,11.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,117.0,0.099,15.0,4,2,50.0,6.69 (5.73-7.65),2,50.0,5.16 (5.16-5.16),1.61,2.64
microglia 1,315.0,0.088,9.0,144,9,6.25,4.58 (3.21-5.95),135,93.75,4.45 (4.14-4.77),3.55,4.25
oligodendrocytes 3,681.0,0.096,52.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89),2.94,4.27
oligodendrocytes 2,407.0,0.167,62.0,122,6,4.92,1.29 (0.67-1.91),116,95.08,3.47 (3.07-3.86),1.81,2.75
