tipo_celular,module_size,MPHOSPH6_MM,MPHOSPH6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.256,74.0,102,10,9.8,1.89 (1.21-2.58),92,90.2,3.68 (3.30-4.06),5.03,2.82
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.126,67.0,136,6,4.41,2.22 (1.33-3.11),130,95.59,3.26 (2.98-3.54),7.47,4.87
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,37,10.48,1.72 (1.37-2.07),316,89.52,4.23 (4.06-4.40),30.79,5.40
GABA neurons expressing GLU receptors 22,487.0,0.298,76.0,73,7,9.59,2.55 (1.10-3.99),66,90.41,2.78 (2.38-3.18),2.37,7.85
GLU like neurons 17,795.0,0.064,6.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,215.0,0.128,25.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.145,23.0,455,28,6.15,2.20 (1.50-2.89),427,93.85,4.54 (4.36-4.72),19.68,8.12
astrocytes 8,1266.0,0.073,41.0,66,16,24.24,1.63 (1.08-2.18),50,75.76,3.85 (3.44-4.26),4.55,2.44
oligodendrocyte progenitor cells 12,3303.0,0.054,19.0,276,26,9.42,1.79 (1.50-2.08),250,90.58,3.79 (3.57-4.01),14.52,4.13
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.063,26.0,105,17,16.19,1.46 (1.12-1.80),88,83.81,3.58 (3.24-3.93),7.76,3.25
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.366,82.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.16,78.0,104,25,24.04,1.65 (1.33-1.98),79,75.96,3.29 (2.98-3.59),11.75,3.39
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.095,4.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
