tipo_celular,module_size,LSG1_MM,LSG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.14,41.0,241,9,3.73,2.93 (2.44-3.43),232,96.27,4.09 (3.83-4.35),1.75,4.44
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.074,5.0,410,25,6.1,2.98 (2.36-3.59),385,93.9,4.33 (4.13-4.52),5.57,7.64
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.108,20.0,141,2,1.42,2.41 (1.77-3.05),139,98.58,2.97 (2.73-3.21),2.20,6.89
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.156,65.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66),1.96,8.72
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.129,69.0,122,22,18.03,2.17 (1.71-2.63),100,81.97,4.55 (4.13-4.97),4.53,3.25
astrocytes microglia 23,41.0,0.264,20.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57),NA,8.62
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
