tipo_celular,module_size,TRIM56_MM,TRIM56_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.176,49.0,73,21,28.77,4.21 (3.84-4.59),52,71.23,3.21 (2.76-3.67),2.28,3.60
T cells 18,727.0,0.115,28.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,322.0,0.092,7.0,58,14,24.14,2.96 (2.42-3.50),44,75.86,4.61 (4.14-5.08),2.22,2.35
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.136,25.0,120,20,16.67,3.06 (2.72-3.39),100,83.33,4.95 (4.61-5.29),5.44,3.29
oligodendrocytes 20,358.0,0.035,11.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,283.0,0.043,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.183,63.0,358,46,12.85,2.18 (1.80-2.57),312,87.15,4.16 (3.97-4.35),18.42,8.15
connective tissue cells 21,118.0,0.236,19.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1401.0,0.035,5.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14),1.67,3.87
oligodendrocytes 16,86.0,0.308,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,45.0,0.34,62.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,1807.0,0.122,14.0,104,19,18.27,1.87 (1.42-2.33),85,81.73,3.11 (2.80-3.42),7.11,5.01
oligodendrocytes 0,2078.0,0.086,7.0,238,18,7.56,3.16 (2.49-3.83),220,92.44,3.67 (3.44-3.90),5.32,5.00
microglia 1,1615.0,0.107,46.0,161,40,24.84,2.33 (1.89-2.77),121,75.16,3.60 (3.29-3.90),6.22,5.17
oligodendrocytes 3,854.0,0.108,70.0,76,6,7.89,1.82 (0.74-2.91),70,92.11,2.85 (2.51-3.19),3.30,4.84
oligodendrocytes 2,1630.0,0.143,52.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
