tipo_celular,module_size,KCNJ6_MM,KCNJ6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.198,60.0,251,6,2.39,2.72 (2.31-3.13),245,97.61,4.12 (3.87-4.36),3.66,6.21
GABA neurons expressing GLU receptors 22,459.0,0.124,31.0,165,26,15.76,3.33 (2.86-3.79),139,84.24,5.53 (5.16-5.89),3.53,4.19
GLU like neurons 17,1247.0,0.235,92.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,191.0,0.518,94.0,93,14,15.05,3.86 (3.31-4.41),79,84.95,6.10 (5.69-6.50),3.45,4.26
GABA neurons expressing GABA receptors 13,200.0,0.121,23.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,338.0,0.33,90.0,191,14,7.33,3.36 (2.92-3.80),177,92.67,3.94 (3.70-4.18),2.73,9.67
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.169,31.0,306,36,11.76,3.08 (2.67-3.48),270,88.24,5.52 (5.25-5.79),3.79,7.09
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.098,72.0,276,10,3.62,1.69 (1.16-2.22),266,96.38,3.63 (3.41-3.85),7.64,5.02
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.386,100.0,124,2,1.61,2.17 (-1.29-5.63),122,98.39,4.23 (3.84-4.62),3.00,3.03
astrocytes microglia 23,122.0,0.441,97.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
