tipo_celular,module_size,MLXIP_MM,MLXIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.094,8.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,477.0,0.158,47.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,322.0,0.171,50.0,58,2,3.45,1.33 (0.43-2.22),56,96.55,4.29 (3.89-4.70),1.65,2.34
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,42,11.9,1.80 (1.52-2.08),311,88.1,4.27 (4.10-4.45),19.80,6.48
GABA neurons expressing GLU receptors 22,459.0,0.067,7.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,1247.0,0.056,4.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,265.0,0.239,70.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.046,10.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75),3.75,5.39
GABA like neurons 14,2090.0,0.286,98.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,260.0,0.093,29.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66),3.04,1.77
oligodendrocyte progenitor cells 12,3303.0,0.044,11.0,276,37,13.41,1.89 (1.66-2.12),239,86.59,3.89 (3.67-4.12),6.26,4.93
oligodendrocytes 10,2107.0,0.215,73.0,358,53,14.8,1.84 (1.60-2.08),305,85.2,4.37 (4.19-4.54),21.81,7.33
connective tissue cells 21,101.0,0.329,73.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1401.0,0.136,84.0,96,5,5.21,1.77 (1.58-1.95),91,94.79,3.74 (3.27-4.20),4.30,3.77
oligodendrocytes 16,82.0,0.144,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.234,28.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,787.0,0.14,30.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.14,94.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96),6.18,4.96
microglia 1,1615.0,0.118,62.0,161,44,27.33,1.89 (1.61-2.17),117,72.67,3.96 (3.68-4.25),7.83,4.53
oligodendrocytes 3,854.0,0.082,41.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,407.0,0.165,60.0,122,46,37.7,1.87 (1.61-2.12),76,62.3,4.68 (4.23-5.13),3.06,2.48
