tipo_celular,module_size,MFSD8_MM,MFSD8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.111,19.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,727.0,0.118,30.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.097,8.0,353,10,2.83,1.33 (0.62-2.04),343,97.17,3.99 (3.80-4.17),39.95,7.13
GABA neurons expressing GLU receptors 22,1069.0,0.112,14.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.056,3.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40),2.47,3.06
da like neurons 11,87.0,0.172,23.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.063,20.0,169,11,6.51,3.26 (2.80-3.71),158,93.49,3.50 (3.26-3.74),5.37,5.36
GABA like neurons 14,3052.0,0.165,72.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.084,57.0,276,2,0.72,2.81 (1.69-3.93),274,99.28,3.55 (3.33-3.77),3.91,5.12
oligodendrocytes 10,2107.0,0.043,4.0,358,7,1.96,0.92 (0.10-1.74),351,98.04,3.94 (3.75-4.13),46.61,8.73
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.29,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.372,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.116,54.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,1615.0,0.1,36.0,161,6,3.73,0.51 (0.32-0.70),155,96.27,3.40 (3.14-3.66),21.95,4.79
oligodendrocytes 3,854.0,0.086,45.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.147,62.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
