tipo_celular,module_size,SLC35C2_MM,SLC35C2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.176,51.0,12,1,8.33,6.08 (NA-NA),11,91.67,3.05 (1.95-4.15),2.69,5.62
astrocytes 5,1656.0,0.091,15.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48),2.54,5.01
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,703.0,0.193,55.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.079,37.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.148,59.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,603.0,0.022,1.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.048,12.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.068,31.0,105,8,7.62,1.62 (1.03-2.22),97,92.38,3.36 (3.01-3.70),9.29,3.54
oligodendrocytes 16,92.0,0.09,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,45.0,0.43,82.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,1807.0,0.145,52.0,104,12,11.54,1.93 (1.24-2.62),92,88.46,2.98 (2.69-3.28),14.26,4.24
oligodendrocytes 0,2078.0,0.103,28.0,238,5,2.1,2.90 (0.47-5.33),233,97.9,3.65 (3.43-3.87),4.66,5.03
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.072,38.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.12,14.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
