tipo_celular,module_size,PRMT1_MM,PRMT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.142,34.0,164,3,1.83,4.79 (4.34-5.25),161,98.17,4.07 (3.73-4.40),2.27,7.62
GABA neurons expressing GLU receptors 22,487.0,0.226,55.0,73,5,6.85,1.79 (1.09-2.50),68,93.15,2.84 (2.43-3.24),2.29,7.70
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.163,43.0,410,19,4.63,3.02 (2.30-3.74),391,95.37,4.32 (4.13-4.51),8.34,7.48
GABA neurons expressing GABA receptors 13,417.0,0.161,50.0,213,26,12.21,1.76 (1.31-2.21),187,87.79,4.14 (3.91-4.37),8.02,9.92
endothelial cells 9,916.0,0.231,57.0,302,3,0.99,0.97 (-0.53-2.46),299,99.01,4.01 (3.78-4.23),4.48,10.71
oligodendrocytes 20,253.0,0.063,15.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.411,81.0,455,39,8.57,2.47 (1.89-3.06),416,91.43,4.59 (4.41-4.77),18.84,7.90
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.108,59.0,235,3,1.28,3.70 (2.09-5.31),232,98.72,3.83 (3.59-4.06),13.44,7.54
oligodendrocytes 10,483.0,0.147,60.0,129,5,3.88,4.74 (2.85-6.64),124,96.12,3.36 (2.96-3.76),13.26,19.43
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.328,98.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,409.0,0.084,19.0,235,12,5.11,2.06 (1.56-2.55),223,94.89,4.12 (3.87-4.38),4.76,4.40
astrocytes microglia 23,111.0,0.453,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.1,12.0,252,28,11.11,1.88 (1.39-2.37),224,88.89,4.46 (4.22-4.69),10.78,7.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.05,7.0,345,21,6.09,3.51 (2.87-4.15),324,93.91,4.34 (4.12-4.55),3.01,5.87
oligodendrocytes 2,526.0,0.137,10.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25),3.27,7.96
