tipo_celular,module_size,COPS2_MM,COPS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.098,10.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,477.0,0.155,45.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,55,15.58,2.15 (1.85-2.45),298,84.42,4.33 (4.15-4.51),22.55,5.39
GABA neurons expressing GLU receptors 22,1069.0,0.219,84.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,229.0,0.211,59.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,204.0,0.185,50.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,88.0,0.139,43.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,385.0,0.118,61.0,275,48,17.45,2.15 (1.81-2.49),227,82.55,4.56 (4.30-4.82),11.04,4.79
oligodendrocytes 20,250.0,0.191,57.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.176,33.0,455,31,6.81,2.42 (1.74-3.10),424,93.19,4.54 (4.36-4.71),18.02,8.16
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.052,17.0,235,2,0.85,5.80 (5.23-6.36),233,99.15,3.80 (3.57-4.03),3.81,7.65
oligodendrocytes 10,735.0,0.091,47.0,277,2,0.72,5.80 (5.23-6.36),275,99.28,3.87 (3.63-4.12),3.28,8.99
connective tissue cells 21,112.0,0.259,62.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.179,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.055,3.0,235,7,2.98,2.89 (1.34-4.44),228,97.02,4.02 (3.77-4.27),5.43,4.38
astrocytes microglia 23,46.0,0.397,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.146,97.0,238,17,7.14,3.01 (2.37-3.64),221,92.86,3.69 (3.46-3.93),6.79,4.89
microglia 1,958.0,0.099,30.0,290,15,5.17,3.29 (2.47-4.11),275,94.83,3.85 (3.61-4.09),5.44,4.98
oligodendrocytes 3,743.0,0.073,38.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921.0,0.126,31.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91),5.80,3.44
