tipo_celular,module_size,CCDC102B_MM,CCDC102B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.177,60.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52),1.65,3.86
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,714.0,0.169,44.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316.0,0.083,14.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,209.0,0.2,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.391,79.0,62,2,3.23,NA,60,96.77,4.05 (3.60-4.49),1.96,4.28
oligodendrocytes 20,279.0,0.415,93.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01),1.42,3.62
GABA like neurons 14,3052.0,0.094,14.0,125,2,1.6,4.56 (NA-NA),123,98.4,3.34 (3.02-3.67),4.87,8.67
astrocytes 8,140.0,0.108,44.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.106,49.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,84.0,0.32,74.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,377.0,0.209,83.0,14,5,35.71,3.57 (1.46-5.68),9,64.29,1.18 (0.12-2.24),3.16,2.06
oligodendrocytes 16,112.0,0.124,10.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.351,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.125,18.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,479.0,0.116,19.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.102,55.0,15,4,26.67,0.82 (-0.10-1.74),11,73.33,4.42 (3.01-5.83),3.14,1.88
oligodendrocytes 2,804.0,0.127,20.0,84,9,10.71,2.46 (1.12-3.80),75,89.29,2.71 (2.36-3.06),2.44,3.51
