tipo_celular,module_size,PLXND1_MM,PLXND1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.308,91.0,32,1,3.12,NA,31,96.88,3.72 (2.95-4.50),1.55,3.68
T cells 18,282.0,0.162,37.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,322.0,0.132,28.0,58,24,41.38,4.09 (3.42-4.75),34,58.62,4.26 (3.71-4.80),2.03,2.52
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.047,2.0,155,5,3.23,4.22 (3.76-4.67),150,96.77,4.34 (3.96-4.72),2.42,4.39
oligodendrocytes 20,253.0,0.213,72.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,354.0,0.102,39.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.164,57.0,358,14,3.91,1.55 (1.10-1.99),344,96.09,3.99 (3.80-4.18),8.53,9.51
connective tissue cells 21,125.0,0.334,65.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1768.0,0.096,59.0,105,8,7.62,1.53 (0.89-2.17),97,92.38,3.36 (3.02-3.71),4.98,3.90
oligodendrocytes 16,75.0,0.098,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,28.0,0.318,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.164,84.0,104,4,3.85,0.87 (0.13-1.61),100,96.15,2.95 (2.67-3.23),9.00,5.25
oligodendrocytes 0,117.0,0.119,30.0,4,2,50.0,6.69 (5.73-7.65),2,50.0,5.16 (5.16-5.16),1.61,2.64
microglia 1,346.0,0.203,76.0,43,2,4.65,NA,41,95.35,3.77 (3.26-4.27),1.84,4.61
oligodendrocytes 3,242.0,0.149,59.0,6,1,16.67,6.20 (NA-NA),5,83.33,5.94 (4.78-7.11),2.02,2.05
oligodendrocytes 2,131.0,0.177,46.0,20,3,15.0,3.68 (1.21-6.15),17,85.0,4.70 (3.97-5.44),1.84,4.17
