tipo_celular,module_size,ZC3H18_MM,ZC3H18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.189,37.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,518.0,0.118,24.0,131,2,1.53,3.60 (0.95-6.25),129,98.47,3.06 (2.79-3.34),3.24,4.78
astrocytes 5,1656.0,0.1,26.0,136,7,5.15,2.07 (1.04-3.11),129,94.85,3.28 (3.00-3.55),6.43,4.91
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,52,14.73,2.35 (1.93-2.78),301,85.27,4.24 (4.06-4.41),23.26,5.44
GABA neurons expressing GLU receptors 22,848.0,0.144,21.0,262,9,3.44,2.55 (1.30-3.81),253,96.56,4.24 (3.99-4.49),3.91,4.11
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.153,35.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.047,1.0,297,2,0.67,5.57 (5.12-6.02),295,99.33,3.66 (3.45-3.86),2.13,5.54
oligodendrocytes 20,403.0,0.164,66.0,18,11,61.11,1.39 (0.67-2.12),7,38.89,2.64 (1.46-3.81),4.48,2.71
GABA like neurons 14,2090.0,0.109,19.0,74,8,10.81,1.86 (1.58-2.15),66,89.19,3.05 (2.65-3.46),3.40,11.36
astrocytes 8,260.0,0.021,1.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA,2.24,1.63
oligodendrocyte progenitor cells 12,708.0,0.111,52.0,32,6,18.75,0.42 (0.32-0.52),26,81.25,3.86 (3.08-4.64),3.97,2.28
oligodendrocytes 10,2107.0,0.084,20.0,358,58,16.2,2.27 (1.88-2.66),300,83.8,4.29 (4.11-4.47),26.44,6.19
connective tissue cells 21,110.0,0.406,93.0,13,4,30.77,3.12 (1.59-4.64),9,69.23,3.11 (2.07-4.16),1.86,1.63
astrocytes 15,268.0,0.05,21.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,156.0,0.256,83.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.306,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.129,23.0,104,31,29.81,2.02 (1.57-2.46),73,70.19,3.23 (2.91-3.55),9.79,3.53
oligodendrocytes 0,2078.0,0.118,57.0,238,14,5.88,3.55 (2.62-4.48),224,94.12,3.64 (3.42-3.87),5.12,5.02
microglia 1,480.0,0.14,24.0,163,1,0.61,4.95 (NA-NA),162,99.39,3.70 (3.43-3.97),4.45,5.17
oligodendrocytes 3,187.0,0.059,13.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.166,91.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
