tipo_celular,module_size,ATP1B2_MM,ATP1B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.277,85.0,128,3,2.34,4.70 (3.79-5.62),125,97.66,3.53 (3.18-3.88),1.81,6.88
oligodendrocyte progenitor cells 7,628.0,0.179,59.0,164,12,7.32,4.95 (3.59-6.30),152,92.68,4.01 (3.67-4.34),2.10,7.95
GABA neurons expressing GLU receptors 22,848.0,0.357,87.0,262,35,13.36,4.58 (3.90-5.27),227,86.64,4.07 (3.81-4.33),5.07,3.95
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.309,68.0,62,6,9.68,3.82 (2.87-4.78),56,90.32,4.08 (3.59-4.57),3.12,4.32
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.23,50.0,455,9,1.98,4.23 (2.26-6.20),446,98.02,4.34 (4.16-4.53),9.79,8.82
astrocytes 8,603.0,0.183,88.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,1049.0,0.17,80.0,235,5,2.13,3.88 (2.50-5.27),230,97.87,3.82 (3.59-4.06),2.08,7.73
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,77.0,0.2,14.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1768.0,0.195,99.0,105,10,9.52,1.98 (1.20-2.76),95,90.48,3.35 (3.00-3.71),4.61,3.91
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.424,100.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,208.0,0.174,36.0,173,12,6.94,4.20 (3.86-4.54),161,93.06,3.75 (3.43-4.08),2.18,5.88
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
