tipo_celular,module_size,RNF145_MM,RNF145_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.152,14.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,610,0.139,39.0,98,6,6.12,0.51 (0.32-0.70),92,93.88,3.31 (3.01-3.61),12.21,3.50
astrocytes 5,1656,0.087,11.0,136,1,0.74,3.74 (NA-NA),135,99.26,3.20 (2.93-3.48),1.80,5.01
oligodendrocyte progenitor cells 7,4285,0.07,1.0,353,7,1.98,0.76 (0.25-1.27),346,98.02,3.97 (3.79-4.15),54.73,7.12
GABA neurons expressing GLU receptors 22,848,0.177,35.0,262,2,0.76,2.99 (1.51-4.47),260,99.24,4.17 (3.92-4.42),6.42,4.09
GLU like neurons 17,1316,0.174,86.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,108,0.23,59.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,73,0.11,10.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,559,0.146,45.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938,0.182,74.0,169,2,1.18,2.99 (1.51-4.47),167,98.82,3.49 (3.27-3.71),6.45,5.35
GABA like neurons 14,2402,0.423,82.0,455,8,1.76,1.13 (0.28-1.99),447,98.24,4.42 (4.24-4.60),44.08,8.20
astrocytes 8,727,0.12,58.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,1049,0.106,58.0,235,1,0.43,3.74 (NA-NA),234,99.57,3.82 (3.59-4.06),12.10,7.60
oligodendrocytes 10,2107,0.136,46.0,358,6,1.68,0.51 (0.32-0.70),352,98.32,3.94 (3.75-4.12),54.10,8.71
connective tissue cells 21,106,0.24,39.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,443,0.127,31.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,113,0.269,82.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,729,0.116,32.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,255,0.295,75.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,787,0.174,87.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.11,16.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,958,0.056,1.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04),NA,5.00
oligodendrocytes 3,743,0.072,37.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,526,0.124,7.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
