tipo_celular,module_size,ANTXR2_MM,ANTXR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.244,85.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141.0,0.132,50.0,166,2,1.2,0.55 (0.54-0.55),164,98.8,3.43 (3.18-3.68),8.21,4.50
oligodendrocyte progenitor cells 7,4285.0,0.133,48.0,353,12,3.4,1.31 (0.70-1.93),341,96.6,4.01 (3.83-4.19),34.87,7.12
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,153.0,0.277,62.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.162,38.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,727.0,0.24,96.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,4,1.45,2.03 (0.89-3.17),272,98.55,3.57 (3.35-3.79),7.46,5.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,110.0,0.202,15.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94),NA,1.70
astrocytes 15,1768.0,0.153,92.0,105,4,3.81,1.62 (0.89-2.34),101,96.19,3.28 (2.94-3.62),3.77,3.99
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,46.0,0.251,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.193,99.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
