tipo_celular,module_size,ZFHX2_MM,ZFHX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.146,89.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,37,10.48,1.58 (1.33-1.83),316,89.52,4.25 (4.08-4.42),22.12,6.42
GABA neurons expressing GLU receptors 22,703.0,0.163,35.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,1247.0,0.068,8.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.129,49.0,133,39,29.32,1.83 (1.55-2.10),94,70.68,4.01 (3.66-4.36),5.45,3.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.059,28.0,110,11,10.0,3.45 (2.35-4.54),99,90.0,5.25 (4.78-5.71),4.12,3.46
GABA like neurons 14,3052.0,0.056,3.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.105,70.0,66,14,21.21,2.30 (1.18-3.42),52,78.79,3.53 (3.14-3.92),3.21,2.88
oligodendrocyte progenitor cells 12,411.0,0.054,27.0,103,4,3.88,3.60 (2.18-5.02),99,96.12,5.65 (5.26-6.04),2.95,3.09
oligodendrocytes 10,1277.0,0.047,10.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.051,18.0,96,3,3.12,1.66 (1.48-1.85),93,96.88,3.69 (3.23-4.15),5.96,3.73
oligodendrocytes 16,121.0,0.25,66.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.312,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.176,89.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.105,30.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.052,8.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.132,30.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
