tipo_celular,module_size,NDUFB9_MM,NDUFB9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.178,58.0,164,31,18.9,4.01 (3.50-4.51),133,81.1,4.11 (3.71-4.50),4.30,8.28
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.175,49.0,410,78,19.02,3.80 (3.54-4.07),332,80.98,4.39 (4.16-4.62),15.61,5.61
GABA neurons expressing GABA receptors 13,417.0,0.148,41.0,213,88,41.31,3.37 (3.04-3.70),125,58.69,4.16 (3.81-4.51),14.12,6.56
endothelial cells 9,916.0,0.243,60.0,302,67,22.19,3.89 (3.57-4.21),235,77.81,4.02 (3.73-4.31),18.33,8.46
oligodendrocytes 20,938.0,0.173,72.0,169,55,32.54,3.57 (3.27-3.87),114,67.46,3.43 (3.13-3.73),3.96,6.04
GABA like neurons 14,2402.0,0.46,85.0,455,80,17.58,3.51 (3.16-3.85),375,82.42,4.59 (4.38-4.80),17.61,6.96
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.131,68.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06),6.53,7.92
oligodendrocytes 10,806.0,0.106,29.0,261,41,15.71,3.74 (3.34-4.14),220,84.29,4.52 (4.24-4.80),4.31,6.39
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,69.0,0.31,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.153,51.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80),13.50,7.76
astrocytes microglia 23,39.0,0.393,66.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.144,34.0,252,70,27.78,3.33 (2.96-3.69),182,72.22,4.50 (4.19-4.81),7.89,8.34
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.118,43.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.233,41.0,213,60,28.17,4.10 (3.84-4.37),153,71.83,3.92 (3.53-4.31),8.93,7.55
