tipo_celular,module_size,ANKRD27_MM,ANKRD27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.064,3.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,624.0,0.151,49.0,142,1,0.7,3.79 (NA-NA),141,99.3,3.20 (2.94-3.47),3.00,4.31
astrocytes 5,932.0,0.138,84.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1247.0,0.091,19.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.178,76.0,133,12,9.02,1.83 (1.09-2.57),121,90.98,3.42 (3.10-3.75),5.41,4.04
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.073,24.0,169,13,7.69,2.50 (1.85-3.15),156,92.31,3.57 (3.35-3.80),4.72,5.42
GABA like neurons 14,2090.0,0.185,71.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.085,55.0,66,25,37.88,2.88 (2.17-3.60),41,62.12,3.49 (3.01-3.98),3.25,2.77
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.236,79.0,358,34,9.5,2.29 (1.69-2.89),324,90.5,4.06 (3.87-4.25),16.29,8.76
connective tissue cells 21,78.0,0.232,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.147,49.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,155.0,0.274,78.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50),1.84,1.53
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.308,43.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,787.0,0.139,28.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078.0,0.091,10.0,238,7,2.94,2.55 (1.58-3.53),231,97.06,3.68 (3.45-3.90),7.50,4.95
microglia 1,1615.0,0.076,7.0,161,20,12.42,2.22 (1.43-3.00),141,87.58,3.45 (3.18-3.72),9.19,4.90
oligodendrocytes 3,242.0,0.059,7.0,6,2,33.33,5.16 (5.16-5.16),4,66.67,6.40 (5.12-7.67),2.30,1.91
oligodendrocytes 2,1630.0,0.12,14.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
