tipo_celular,module_size,AATF_MM,AATF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.227,63.0,21,11,52.38,1.46 (0.81-2.10),10,47.62,3.33 (2.61-4.05),2.22,1.76
T cells 18,610.0,0.104,16.0,98,35,35.71,1.86 (1.53-2.20),63,64.29,3.95 (3.63-4.26),6.29,2.78
astrocytes 5,156.0,0.09,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.164,90.0,353,61,17.28,2.07 (1.82-2.32),292,82.72,4.42 (4.24-4.59),20.10,5.55
GABA neurons expressing GLU receptors 22,487.0,0.099,6.0,73,12,16.44,2.90 (1.53-4.27),61,83.56,2.73 (2.34-3.11),3.32,8.12
GLU like neurons 17,685.0,0.058,6.0,135,38,28.15,2.47 (2.03-2.91),97,71.85,3.55 (3.17-3.93),3.86,3.71
da like neurons 11,853.0,0.097,25.0,133,41,30.83,1.83 (1.57-2.09),92,69.17,4.06 (3.71-4.42),5.90,3.39
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.134,55.0,297,1,0.34,3.04 (NA-NA),296,99.66,3.68 (3.47-3.88),10.37,5.50
oligodendrocytes 20,403.0,0.138,57.0,18,11,61.11,1.15 (0.57-1.74),7,38.89,3.01 (1.96-4.07),4.86,2.12
GABA like neurons 14,3052.0,0.103,20.0,125,1,0.8,3.04 (NA-NA),124,99.2,3.36 (3.03-3.68),4.61,8.65
astrocytes 8,771.0,0.03,2.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.064,20.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.21,72.0,358,68,18.99,2.02 (1.79-2.25),290,81.01,4.50 (4.32-4.67),23.99,6.07
connective tissue cells 21,84.0,0.164,10.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,1768.0,0.047,11.0,105,21,20.0,1.63 (1.28-1.98),84,80.0,3.65 (3.29-4.01),7.15,3.19
oligodendrocytes 16,91.0,0.206,50.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.221,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.131,26.0,104,27,25.96,1.71 (1.38-2.04),77,74.04,3.31 (3.00-3.62),10.55,3.59
oligodendrocytes 0,2078.0,0.113,47.0,238,15,6.3,2.46 (2.06-2.87),223,93.7,3.73 (3.50-3.96),5.75,4.97
microglia 1,813.0,0.129,64.0,79,3,3.8,4.97 (3.62-6.31),76,96.2,3.02 (2.61-3.43),3.64,8.07
oligodendrocytes 3,854.0,0.092,53.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,921.0,0.089,3.0,200,6,3.0,2.61 (2.06-3.16),194,97.0,3.66 (3.39-3.93),5.06,3.41
