tipo_celular,module_size,TXNDC16_MM,TXNDC16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.209,82.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,477.0,0.158,48.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.12,57.0,136,1,0.74,3.74 (NA-NA),135,99.26,3.20 (2.93-3.48),1.80,5.01
oligodendrocyte progenitor cells 7,666.0,0.197,70.0,127,5,3.94,3.18 (NA-NA),122,96.06,3.84 (3.50-4.18),3.59,5.93
GABA neurons expressing GLU receptors 22,1069.0,0.16,47.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.138,63.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,101.0,0.083,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.163,52.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.217,96.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.093,38.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,411.0,0.025,2.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,2107.0,0.083,19.0,358,11,3.07,1.13 (0.61-1.65),347,96.93,3.98 (3.79-4.17),47.84,8.26
connective tissue cells 21,102.0,0.437,99.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75),NA,1.41
astrocytes 15,1401.0,0.104,66.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,90.0,0.212,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,132.0,0.276,32.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,1807.0,0.132,27.0,104,7,6.73,1.95 (1.12-2.78),97,93.27,2.93 (2.64-3.23),15.58,4.66
oligodendrocytes 0,2078.0,0.096,16.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,1615.0,0.12,64.0,161,11,6.83,1.13 (0.61-1.65),150,93.17,3.47 (3.20-3.73),18.81,4.45
oligodendrocytes 3,681.0,0.082,37.0,87,7,8.05,1.49 (0.83-2.16),80,91.95,2.69 (2.41-2.97),8.07,3.91
oligodendrocytes 2,921.0,0.097,4.0,200,1,0.5,2.24 (NA-NA),199,99.5,3.63 (3.36-3.90),1.96,3.47
