tipo_celular,module_size,FARP1_MM,FARP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.265,91.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.245,68.0,98,10,10.2,6.73 (4.97-8.49),88,89.8,4.40 (4.01-4.79),3.79,2.52
oligodendrocyte progenitor cells 7,200.0,0.091,12.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,489.0,0.19,77.0,42,19,45.24,6.24 (5.36-7.11),23,54.76,5.75 (5.05-6.45),3.79,2.74
da like neurons 11,77.0,0.123,23.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.266,62.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.299,88.0,306,48,15.69,4.64 (3.96-5.31),258,84.31,5.21 (4.92-5.49),15.97,4.98
astrocytes 8,279.0,0.367,94.0,78,11,14.1,3.82 (2.52-5.12),67,85.9,4.38 (3.94-4.82),3.67,2.55
oligodendrocyte progenitor cells 12,143.0,0.446,61.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA,1.31,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,114.0,0.213,15.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89),3.65,1.99
astrocytes 15,418.0,0.363,80.0,54,7,12.96,4.66 (3.01-6.31),47,87.04,3.54 (3.11-3.98),3.22,2.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.264,59.0,30,19,63.33,5.82 (4.73-6.91),11,36.67,5.24 (3.68-6.79),3.34,5.27
astrocytes 4,161.0,0.204,64.0,45,1,2.22,6.49 (NA-NA),44,97.78,5.24 (4.60-5.88),1.79,3.14
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.25,87.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
