tipo_celular,module_size,ZNF706_MM,ZNF706_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.147,34.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,727,0.113,26.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.136,57.0,166,26,15.66,2.23 (1.78-2.67),140,84.34,3.66 (3.39-3.93),4.44,4.57
oligodendrocyte progenitor cells 7,4285,0.152,75.0,353,40,11.33,2.07 (1.69-2.44),313,88.67,4.20 (4.02-4.38),20.47,6.48
GABA neurons expressing GLU receptors 22,1069,0.095,8.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316,0.093,22.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,197,0.132,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.28,97.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,586,0.064,5.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,348,0.159,58.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22),2.05,3.47
GABA like neurons 14,3052,0.17,75.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727,0.076,28.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,1049,0.091,49.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,735,0.043,8.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,139,0.307,59.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,338,0.129,33.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,123,0.11,0.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,553,0.16,70.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,109,0.276,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.174,87.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613,0.189,84.0,127,14,11.02,2.25 (1.75-2.76),113,88.98,3.22 (2.74-3.70),2.64,6.73
microglia 1,1615,0.124,70.0,161,34,21.12,1.79 (1.43-2.14),127,78.88,3.79 (3.51-4.06),9.14,4.44
oligodendrocytes 3,681,0.187,94.0,87,35,40.23,2.30 (1.93-2.68),52,59.77,2.80 (2.42-3.17),4.58,4.01
oligodendrocytes 2,921,0.153,77.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90),4.39,3.46
