tipo_celular,module_size,POLR3A_MM,POLR3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.122,61.0,136,12,8.82,3.18 (2.18-4.18),124,91.18,3.21 (2.93-3.49),4.83,5.00
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,49,13.88,2.04 (1.67-2.40),304,86.12,4.29 (4.11-4.46),26.31,5.12
GABA neurons expressing GLU receptors 22,599.0,0.297,85.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,1316.0,0.13,56.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,172.0,0.258,58.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.02,3.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,3052.0,0.106,22.0,125,3,2.4,4.17 (3.04-5.30),122,97.6,3.33 (3.00-3.66),5.53,8.69
astrocytes 8,1266.0,0.073,40.0,66,16,24.24,1.79 (1.17-2.42),50,75.76,3.79 (3.36-4.21),4.47,2.47
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,41,14.86,2.00 (1.71-2.29),235,85.14,3.90 (3.68-4.13),11.47,4.00
oligodendrocytes 10,806.0,0.041,5.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62),8.93,6.05
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.061,24.0,105,21,20.0,1.62 (1.28-1.96),84,80.0,3.65 (3.29-4.01),7.25,3.16
oligodendrocytes 16,91.0,0.246,69.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.1,39.0,122,9,7.38,1.02 (0.51-1.52),113,92.62,4.31 (3.93-4.68),3.44,3.49
astrocytes microglia 23,76.0,0.294,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.136,34.0,104,30,28.85,1.74 (1.44-2.04),74,71.15,3.37 (3.05-3.69),10.59,3.29
oligodendrocytes 0,2078.0,0.115,52.0,238,13,5.46,2.92 (2.11-3.73),225,94.54,3.69 (3.46-3.91),7.72,4.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.048,5.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65),1.70,4.25
oligodendrocytes 2,1630.0,0.156,78.0,154,2,1.3,3.94 (1.54-6.34),152,98.7,3.23 (2.97-3.50),1.54,3.62
