tipo_celular,module_size,DOCK1_MM,DOCK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.216,54.0,98,8,8.16,4.75 (2.81-6.69),90,91.84,4.58 (4.18-4.99),2.47,2.67
oligodendrocyte progenitor cells 7,436.0,0.108,35.0,219,10,4.57,3.75 (3.04-4.45),209,95.43,5.31 (5.01-5.60),5.56,4.57
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.47,95.0,91,20,21.98,2.22 (1.40-3.05),71,78.02,5.39 (4.93-5.85),3.02,3.07
da like neurons 11,408.0,0.646,97.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67),2.16,2.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.273,71.0,120,33,27.5,4.35 (3.71-4.99),87,72.5,4.72 (4.36-5.07),4.55,3.31
oligodendrocytes 20,676.0,0.393,67.0,110,21,19.09,3.37 (2.51-4.22),89,80.91,5.41 (4.95-5.88),2.71,3.72
GABA like neurons 14,3052.0,0.058,3.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,279.0,0.212,25.0,78,18,23.08,2.81 (2.29-3.34),60,76.92,4.79 (4.34-5.23),3.13,2.58
oligodendrocyte progenitor cells 12,411.0,0.201,59.0,103,5,4.85,3.66 (2.68-4.65),98,95.15,5.67 (5.28-6.07),3.11,3.08
oligodendrocytes 10,204.0,0.464,58.0,92,7,7.61,3.15 (1.93-4.37),85,92.39,5.84 (5.38-6.31),4.04,3.69
connective tissue cells 21,78.0,0.162,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.427,85.0,54,5,9.26,4.10 (2.61-5.58),49,90.74,3.63 (3.17-4.10),2.84,3.03
oligodendrocytes 16,287.0,0.154,12.0,105,28,26.67,3.70 (2.77-4.63),77,73.33,5.70 (5.32-6.09),3.20,3.57
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.301,54.0,46,2,4.35,4.88 (4.18-5.58),44,95.65,5.04 (4.45-5.63),1.93,3.27
astrocytes 4,251.0,0.09,3.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,187.0,0.123,21.0,14,4,28.57,6.51 (5.19-7.83),10,71.43,5.23 (4.62-5.84),1.71,2.80
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.162,89.0,87,15,17.24,1.93 (1.33-2.54),72,82.76,2.71 (2.41-3.00),8.24,3.41
oligodendrocytes 2,348.0,0.207,55.0,114,21,18.42,4.19 (3.63-4.75),93,81.58,5.42 (4.93-5.91),4.62,4.34
