tipo_celular,module_size,ZFYVE26_MM,ZFYVE26_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.162,54.0,19,7,36.84,3.96 (3.77-4.15),12,63.16,1.68 (0.88-2.48),2.14,4.03
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.111,43.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,40,11.33,2.35 (1.77-2.93),313,88.67,4.12 (3.95-4.30),19.18,6.64
GABA neurons expressing GLU receptors 22,703.0,0.291,94.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,685.0,0.129,48.0,135,18,13.33,1.76 (1.27-2.25),117,86.67,3.41 (3.08-3.73),3.37,3.81
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.073,36.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.114,29.0,125,6,4.8,3.61 (2.66-4.55),119,95.2,3.34 (3.01-3.68),3.93,8.85
astrocytes 8,577.0,0.041,10.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,708.0,0.047,14.0,32,10,31.25,1.13 (0.54-1.73),22,68.75,4.25 (3.41-5.09),3.52,2.18
oligodendrocytes 10,2107.0,0.125,41.0,358,41,11.45,2.24 (1.67-2.82),317,88.55,4.12 (3.94-4.31),18.23,8.34
connective tissue cells 21,103.0,0.376,91.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1768.0,0.062,25.0,105,15,14.29,2.57 (1.45-3.70),90,85.71,3.33 (2.99-3.66),5.15,3.78
oligodendrocytes 16,64.0,0.254,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,80.0,0.283,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.132,27.0,104,15,14.42,1.86 (1.15-2.57),89,85.58,3.03 (2.74-3.32),9.10,4.77
oligodendrocytes 0,2078.0,0.11,41.0,238,11,4.62,3.61 (2.04-5.19),227,95.38,3.64 (3.42-3.86),7.15,4.92
microglia 1,346.0,0.124,32.0,43,6,13.95,4.15 (3.33-4.98),37,86.05,3.72 (3.16-4.28),4.42,4.49
oligodendrocytes 3,1003.0,0.051,6.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.123,17.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51),2.89,3.60
