tipo_celular,module_size,PSMA1_MM,PSMA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.147,48.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,518.0,0.158,54.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35),1.88,4.78
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,38,10.76,2.20 (1.74-2.66),315,89.24,4.15 (3.96-4.33),28.82,5.56
GABA neurons expressing GLU receptors 22,703.0,0.102,10.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,300.0,0.173,35.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,853.0,0.092,20.0,133,16,12.03,1.45 (0.92-1.98),117,87.97,3.55 (3.23-3.87),5.59,3.97
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.132,44.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.229,78.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69),4.20,2.23
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.279,31.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA),2.03,1.45
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.183,47.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
