tipo_celular,module_size,TTC1_MM,TTC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.187,57.0,140,1,0.71,5.16 (NA-NA),139,99.29,4.50 (4.07-4.92),3.51,3.57
T cells 18,282,0.164,51.0,241,1,0.41,5.16 (NA-NA),240,99.59,4.05 (3.80-4.30),3.60,4.34
astrocytes 5,1656,0.103,30.0,136,8,5.88,1.54 (1.26-1.82),128,94.12,3.27 (2.99-3.54),5.14,4.98
oligodendrocyte progenitor cells 7,628,0.155,43.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,487,0.187,39.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,380,0.214,80.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56),2.57,2.57
da like neurons 11,108,0.207,46.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,417,0.109,13.0,213,16,7.51,1.65 (0.60-2.70),197,92.49,3.98 (3.77-4.20),7.83,9.84
endothelial cells 9,338,0.114,42.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,938,0.136,55.0,169,7,4.14,1.97 (0.74-3.20),162,95.86,3.56 (3.35-3.78),5.89,5.34
GABA like neurons 14,2402,0.287,63.0,455,18,3.96,1.89 (0.90-2.89),437,96.04,4.48 (4.31-4.66),27.25,8.08
astrocytes 8,520,0.076,28.0,288,6,2.08,2.26 (0.97-3.55),282,97.92,4.23 (4.03-4.42),6.13,4.65
oligodendrocyte progenitor cells 12,1049,0.034,4.0,235,4,1.7,4.92 (2.12-7.72),231,98.3,3.80 (3.57-4.03),6.45,7.63
oligodendrocytes 10,806,0.216,66.0,261,4,1.53,2.76 (1.07-4.46),257,98.47,4.40 (4.16-4.64),12.26,5.97
connective tissue cells 21,111,0.264,40.0,26,0,0.0,NA,26,100.0,2.52 (1.86-3.18),NA,2.17
astrocytes 15,377,0.076,9.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,158,0.194,46.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,409,0.176,73.0,235,4,1.7,2.97 (0.60-5.33),231,98.3,4.00 (3.75-4.25),8.23,4.35
astrocytes microglia 23,94,0.288,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.131,17.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.126,32.0,127,3,2.36,2.46 (0.01-4.91),124,97.64,3.07 (2.65-3.50),3.57,6.34
microglia 1,214,0.096,12.0,227,1,0.44,1.29 (NA-NA),226,99.56,4.11 (3.87-4.34),5.39,6.12
oligodendrocytes 3,457,0.069,20.0,345,5,1.45,4.51 (2.19-6.82),340,98.55,4.27 (4.06-4.48),6.63,5.68
oligodendrocytes 2,528,0.126,10.0,175,5,2.86,4.51 (2.19-6.82),170,97.14,4.37 (4.02-4.72),7.12,4.55
