tipo_celular,module_size,APBB2_MM,APBB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.178,46.0,51,1,1.96,6.49 (NA-NA),50,98.04,5.32 (4.64-6.00),2.89,2.95
oligodendrocyte progenitor cells 7,436.0,0.186,78.0,219,12,5.48,4.85 (3.65-6.04),207,94.52,5.23 (4.93-5.52),9.76,4.31
GABA neurons expressing GLU receptors 22,567.0,0.191,49.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.246,75.0,91,11,12.09,1.02 (0.54-1.50),80,87.91,5.23 (4.80-5.65),3.80,2.96
da like neurons 11,153.0,0.367,87.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.22,60.0,54,2,3.7,5.24 (5.14-5.33),52,96.3,4.81 (4.15-5.47),3.71,5.09
oligodendrocytes 20,676.0,0.195,42.0,110,18,16.36,3.27 (2.07-4.46),92,83.64,5.31 (4.86-5.75),4.77,3.28
GABA like neurons 14,1300.0,0.288,84.0,306,28,9.15,2.82 (2.09-3.55),278,90.85,5.36 (5.11-5.62),10.99,6.28
astrocytes 8,771.0,0.486,92.0,48,3,6.25,3.49 (-1.81-8.80),45,93.75,4.48 (3.72-5.24),1.67,3.24
oligodendrocyte progenitor cells 12,254.0,0.133,19.0,37,5,13.51,4.38 (2.16-6.61),32,86.49,4.51 (3.91-5.11),2.95,2.40
oligodendrocytes 10,204.0,0.463,57.0,92,1,1.09,6.20 (NA-NA),91,98.91,5.69 (5.21-6.17),6.72,3.69
connective tissue cells 21,147.0,0.323,87.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,458.0,0.141,71.0,36,4,11.11,3.95 (2.83-5.06),32,88.89,3.75 (2.56-4.94),1.84,2.67
oligodendrocytes 16,287.0,0.15,12.0,105,18,17.14,2.56 (1.67-3.44),87,82.86,5.60 (5.20-5.99),3.72,3.42
da neurons 6,398.0,0.309,88.0,138,20,14.49,2.83 (2.01-3.65),118,85.51,5.24 (4.87-5.60),3.54,2.60
astrocytes microglia 23,110.0,0.326,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.155,37.0,45,2,4.44,6.49 (NA-NA),43,95.56,5.24 (4.60-5.88),2.05,3.16
oligodendrocytes 0,479.0,0.112,16.0,40,1,2.5,5.30 (NA-NA),39,97.5,5.88 (5.35-6.41),3.14,3.48
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,99.0,0.114,5.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,237.0,0.22,53.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
