tipo_celular,module_size,IDH3A_MM,IDH3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.146,92.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,19,5.38,1.28 (0.85-1.71),334,94.62,4.07 (3.90-4.25),37.44,6.39
GABA neurons expressing GLU receptors 22,703.0,0.203,60.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,1316.0,0.259,99.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,1220.0,0.117,23.0,410,8,1.95,2.92 (2.09-3.75),402,98.05,4.28 (4.09-4.47),19.71,7.27
GABA neurons expressing GABA receptors 13,266.0,0.21,74.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,385.0,0.093,39.0,275,14,5.09,1.10 (0.69-1.50),261,94.91,4.18 (3.93-4.43),14.55,5.42
oligodendrocytes 20,358.0,0.223,78.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2402.0,0.271,60.0,455,20,4.4,1.80 (1.23-2.37),435,95.6,4.51 (4.33-4.69),28.15,7.95
astrocytes 8,520.0,0.077,29.0,288,6,2.08,2.58 (1.66-3.51),282,97.92,4.22 (4.02-4.42),7.02,4.64
oligodendrocyte progenitor cells 12,3303.0,0.055,20.0,276,11,3.99,1.67 (1.21-2.12),265,96.01,3.64 (3.42-3.85),18.69,4.55
oligodendrocytes 10,806.0,0.176,56.0,261,5,1.92,2.99 (2.41-3.57),256,98.08,4.40 (4.16-4.65),5.07,6.08
connective tissue cells 21,111.0,0.387,92.0,26,1,3.85,2.53 (NA-NA),25,96.15,2.52 (1.83-3.22),1.32,2.20
astrocytes 15,443.0,0.181,72.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,104.0,0.271,89.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,307.0,0.074,9.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,111.0,0.274,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.165,85.0,104,11,10.58,1.42 (0.91-1.93),93,89.42,3.05 (2.76-3.34),16.78,4.05
oligodendrocytes 0,2078.0,0.111,43.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88),9.97,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.083,53.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.154,75.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
