tipo_celular,module_size,ISCU_MM,ISCU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.094,8.0,140,6,4.29,3.16 (1.48-4.85),134,95.71,4.59 (4.16-5.02),2.32,3.63
T cells 18,506.0,0.124,21.0,225,18,8.0,3.52 (2.82-4.21),207,92.0,3.62 (3.35-3.89),3.56,8.28
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.188,41.0,262,12,4.58,2.63 (1.57-3.69),250,95.42,4.26 (4.02-4.51),5.24,4.05
GLU like neurons 17,1316.0,0.15,72.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,1220.0,0.42,94.0,410,27,6.59,3.52 (2.86-4.17),383,93.41,4.32 (4.12-4.51),15.83,6.93
GABA neurons expressing GABA receptors 13,266.0,0.238,84.0,118,7,5.93,3.77 (3.38-4.16),111,94.07,4.82 (4.44-5.19),2.75,4.07
endothelial cells 9,916.0,0.205,50.0,302,16,5.3,3.72 (2.82-4.61),286,94.7,4.00 (3.77-4.24),24.42,9.88
oligodendrocytes 20,298.0,0.188,67.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402.0,0.628,96.0,455,33,7.25,2.77 (2.11-3.43),422,92.75,4.52 (4.33-4.70),24.94,7.58
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.285,77.0,261,21,8.05,3.94 (3.28-4.61),240,91.95,4.42 (4.16-4.67),4.84,6.17
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.248,61.0,291,29,9.97,3.65 (3.12-4.18),262,90.03,4.42 (4.18-4.67),4.68,3.72
da neurons 6,729.0,0.242,86.0,182,4,2.2,4.67 (1.14-8.21),178,97.8,3.61 (3.37-3.86),8.11,8.53
astrocytes microglia 23,96.0,0.288,31.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.124,23.0,252,33,13.1,3.03 (2.35-3.71),219,86.9,4.31 (4.06-4.57),9.55,8.01
microglia 1,214.0,0.176,49.0,227,18,7.93,4.20 (3.62-4.79),209,92.07,4.08 (3.82-4.33),10.01,5.79
oligodendrocytes 3,457.0,0.171,73.0,345,29,8.41,3.61 (3.03-4.19),316,91.59,4.35 (4.13-4.57),4.57,5.80
oligodendrocytes 2,526.0,0.151,15.0,213,12,5.63,4.38 (3.54-5.23),201,94.37,3.95 (3.66-4.23),14.08,7.57
