tipo_celular,module_size,CATSPER2_MM,CATSPER2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.106,14.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,610.0,0.205,82.0,98,3,3.06,0.98 (-0.02-1.98),95,96.94,3.19 (2.88-3.51),3.55,4.05
astrocytes 5,932.0,0.113,56.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,4,1.13,0.87 (0.13-1.61),349,98.87,3.93 (3.75-4.12),20.58,7.92
GABA neurons expressing GLU receptors 22,400.0,0.194,48.0,24,1,4.17,0.79 (NA-NA),23,95.83,2.22 (1.70-2.73),2.97,3.61
GLU like neurons 17,1247.0,0.236,92.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.206,84.0,133,1,0.75,0.21 (NA-NA),132,99.25,3.28 (2.97-3.59),3.54,4.17
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.302,93.0,18,1,5.56,0.79 (NA-NA),17,94.44,1.94 (1.23-2.65),2.41,3.87
GABA like neurons 14,1300.0,0.356,97.0,306,19,6.21,3.38 (2.70-4.05),287,93.79,5.26 (4.99-5.53),6.04,6.75
astrocytes 8,1266.0,0.084,53.0,66,1,1.52,0.21 (NA-NA),65,98.48,3.28 (2.87-3.69),5.85,2.91
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,3,1.09,1.09 (0.25-1.94),273,98.91,3.58 (3.36-3.79),13.28,5.02
oligodendrocytes 10,1277.0,0.084,33.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,90.0,0.24,21.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29),NA,1.41
astrocytes 15,1401.0,0.104,66.0,96,1,1.04,4.22 (NA-NA),95,98.96,3.60 (3.15-4.06),1.52,3.82
oligodendrocytes 16,121.0,0.252,68.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.22,7.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,721.0,0.117,6.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,479.0,0.102,8.0,40,1,2.5,4.78 (NA-NA),39,97.5,5.90 (5.37-6.43),2.17,3.50
microglia 1,813.0,0.068,3.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,639.0,0.091,46.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,407.0,0.18,74.0,122,2,1.64,1.25 (-0.12-2.62),120,98.36,3.38 (2.99-3.76),1.90,2.71
