tipo_celular,module_size,MAPK8IP1_MM,MAPK8IP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.092,9.0,128,2,1.56,5.18 (3.79-6.56),126,98.44,3.53 (3.19-3.88),2.00,6.84
oligodendrocyte progenitor cells 7,296.0,0.091,3.0,251,2,0.8,NA,249,99.2,4.07 (3.83-4.30),2.17,6.19
GABA neurons expressing GLU receptors 22,400.0,0.178,37.0,24,4,16.67,1.29 (0.47-2.12),20,83.33,2.33 (1.76-2.89),6.23,3.05
GLU like neurons 17,685.0,0.059,6.0,135,32,23.7,2.61 (2.09-3.13),103,76.3,3.38 (3.02-3.74),3.70,3.76
da like neurons 11,1220.0,0.168,46.0,410,15,3.66,3.05 (2.28-3.81),395,96.34,4.30 (4.11-4.49),6.95,7.54
GABA neurons expressing GABA receptors 13,70.0,0.253,93.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.267,92.0,169,6,3.55,2.37 (0.48-4.25),163,96.45,3.52 (3.31-3.74),5.46,5.36
GABA like neurons 14,2402.0,0.238,53.0,455,12,2.64,2.12 (1.06-3.18),443,97.36,4.42 (4.23-4.60),19.33,8.55
astrocytes 8,603.0,0.126,76.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,708.0,0.109,47.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.148,46.0,261,5,1.92,1.86 (1.49-2.23),256,98.08,4.42 (4.18-4.66),9.12,6.01
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.043,8.0,105,12,11.43,1.94 (1.24-2.64),93,88.57,3.39 (3.04-3.75),5.35,3.80
oligodendrocytes 16,112.0,0.128,14.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,553.0,0.117,42.0,124,6,4.84,3.79 (2.84-4.73),118,95.16,4.20 (3.79-4.61),2.34,3.07
astrocytes microglia 23,125.0,0.309,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.09,2.0,95,9,9.47,2.88 (1.27-4.49),86,90.53,3.43 (3.00-3.86),2.47,4.87
oligodendrocytes 0,546.0,0.171,51.0,252,15,5.95,2.63 (1.62-3.64),237,94.05,4.21 (3.96-4.46),8.68,8.18
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.125,87.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.3,60.0,213,2,0.94,4.55 (3.40-5.71),211,99.06,3.97 (3.69-4.25),3.29,7.98
