tipo_celular,module_size,GNPTG_MM,GNPTG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.07,2.0,136,4,2.94,3.50 (2.37-4.62),132,97.06,3.20 (2.92-3.48),3.25,5.04
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.244,68.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.073,4.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,233.0,0.21,57.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2090.0,0.097,12.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.062,28.0,66,7,10.61,0.72 (0.26-1.17),59,89.39,3.58 (3.19-3.96),3.84,2.85
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.039,6.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.048,26.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,94.0,0.243,74.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.348,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.109,6.0,104,16,15.38,2.10 (1.35-2.85),88,84.62,3.01 (2.72-3.31),10.98,4.38
oligodendrocytes 0,86.0,0.099,8.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.047,6.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.132,31.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
