tipo_celular,module_size,RBM33_MM,RBM33_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.132,9.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,624.0,0.201,83.0,142,8,5.63,5.35 (4.99-5.71),134,94.37,3.06 (2.80-3.33),2.68,4.39
astrocytes 5,1141.0,0.135,56.0,166,37,22.29,2.97 (2.42-3.51),129,77.71,3.55 (3.27-3.82),4.23,4.64
oligodendrocyte progenitor cells 7,4285.0,0.191,100.0,353,64,18.13,3.05 (2.59-3.51),289,81.87,4.15 (3.96-4.33),17.18,6.04
GABA neurons expressing GLU receptors 22,823.0,0.169,44.0,23,3,13.04,2.61 (0.99-4.24),20,86.96,2.35 (1.52-3.18),1.67,3.68
GLU like neurons 17,685.0,0.137,55.0,135,28,20.74,2.41 (1.89-2.93),107,79.26,3.44 (3.09-3.80),4.05,3.67
da like neurons 11,109.0,0.16,30.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.199,89.0,297,6,2.02,5.38 (4.80-5.95),291,97.98,3.63 (3.42-3.83),3.22,5.57
oligodendrocytes 20,330.0,0.297,86.0,36,14,38.89,2.09 (1.72-2.46),22,61.11,1.81 (1.27-2.34),1.85,3.94
GABA like neurons 14,3052.0,0.12,34.0,125,5,4.0,5.36 (4.66-6.05),120,96.0,3.25 (2.92-3.57),1.72,8.90
astrocytes 8,283.0,0.166,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,43,15.58,2.57 (2.15-2.99),233,84.42,3.79 (3.55-4.03),8.85,4.42
oligodendrocytes 10,2107.0,0.362,96.0,358,67,18.72,3.00 (2.54-3.45),291,81.28,4.15 (3.96-4.34),19.57,7.15
connective tissue cells 21,114.0,0.197,13.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,261.0,0.155,53.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,155.0,0.105,0.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.272,60.0,47,9,19.15,2.79 (2.09-3.48),38,80.85,2.86 (2.48-3.24),2.10,3.32
astrocytes 4,752.0,0.173,79.0,96,11,11.46,3.35 (2.62-4.07),85,88.54,3.28 (2.91-3.65),2.62,4.54
oligodendrocytes 0,1186.0,0.18,93.0,300,5,1.67,3.45 (2.44-4.45),295,98.33,3.80 (3.59-4.01),8.82,4.08
microglia 1,1615.0,0.134,80.0,161,39,24.22,1.94 (1.56-2.32),122,75.78,3.83 (3.56-4.11),8.15,4.56
oligodendrocytes 3,681.0,0.147,85.0,87,32,36.78,2.22 (1.82-2.63),55,63.22,2.82 (2.47-3.17),4.54,4.07
oligodendrocytes 2,804.0,0.146,45.0,84,4,4.76,1.39 (-0.08-2.86),80,95.24,2.77 (2.43-3.11),3.39,3.40
