tipo_celular,module_size,C19orf12_MM,C19orf12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.209,75.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,932.0,0.131,78.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,16,4.53,1.93 (1.00-2.86),337,95.47,4.01 (3.83-4.19),33.23,6.87
GABA neurons expressing GLU receptors 22,703.0,0.166,38.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1247.0,0.078,13.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.071,7.0,133,7,5.26,0.91 (0.05-1.78),126,94.74,3.41 (3.10-3.72),6.83,4.01
GABA neurons expressing GABA receptors 13,93.0,0.151,48.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.327,80.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2090.0,0.161,55.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.118,76.0,66,7,10.61,0.93 (0.07-1.80),59,89.39,3.55 (3.16-3.94),4.77,2.74
oligodendrocyte progenitor cells 12,708.0,0.034,3.0,25,3,12.0,4.05 (0.28-7.83),22,88.0,2.67 (1.69-3.65),2.56,2.53
oligodendrocytes 10,806.0,0.093,24.0,261,11,4.21,2.65 (2.06-3.24),250,95.79,4.47 (4.22-4.71),6.11,6.06
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.045,13.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,121.0,0.257,71.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,553.0,0.084,16.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64),2.89,3.03
astrocytes microglia 23,122.0,0.33,68.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,251.0,0.15,39.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,309.0,0.085,4.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.054,11.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.145,58.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
