tipo_celular,module_size,TAB2_MM,TAB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.288,65.0,140,17,12.14,3.53 (2.83-4.22),123,87.86,4.71 (4.41-5.01),5.14,3.32
T cells 18,624.0,0.214,87.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,499.0,0.227,85.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,41,11.61,2.48 (1.95-3.00),312,88.39,4.13 (3.95-4.32),24.83,5.86
GABA neurons expressing GLU receptors 22,1069.0,0.203,76.0,37,2,5.41,2.74 (NA-NA),35,94.59,2.14 (1.67-2.60),2.29,3.15
GLU like neurons 17,1316.0,0.122,48.0,101,6,5.94,4.96 (3.53-6.40),95,94.06,2.92 (2.58-3.27),3.50,3.03
da like neurons 11,71.0,0.498,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.146,65.0,297,2,0.67,6.49 (NA-NA),295,99.33,3.66 (3.46-3.86),3.81,5.53
oligodendrocytes 20,348.0,0.042,15.0,33,4,12.12,3.14 (2.75-3.52),29,87.88,2.67 (2.12-3.23),2.15,3.55
GABA like neurons 14,3052.0,0.145,55.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,262.0,0.251,89.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.138,96.0,276,35,12.68,2.80 (2.26-3.34),241,87.32,3.69 (3.45-3.92),11.92,4.12
oligodendrocytes 10,2107.0,0.347,94.0,358,45,12.57,2.47 (1.93-3.01),313,87.43,4.14 (3.95-4.32),26.53,7.02
connective tissue cells 21,101.0,0.38,89.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1401.0,0.115,74.0,96,4,4.17,2.34 (1.47-3.22),92,95.83,3.68 (3.21-4.15),1.62,3.89
oligodendrocytes 16,108.0,0.178,52.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27),1.55,2.78
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.356,69.0,99,4,4.04,2.97 (2.40-3.54),95,95.96,4.36 (4.02-4.70),3.30,3.23
astrocytes 4,220.0,0.223,80.0,63,8,12.7,3.12 (2.35-3.89),55,87.3,5.53 (4.95-6.11),4.11,3.17
oligodendrocytes 0,1186.0,0.145,51.0,300,8,2.67,3.75 (2.87-4.63),292,97.33,3.79 (3.58-4.00),5.35,4.12
microglia 1,315.0,0.166,47.0,144,6,4.17,2.98 (2.19-3.76),138,95.83,4.53 (4.22-4.85),4.39,4.20
oligodendrocytes 3,854.0,0.093,53.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,804.0,0.164,64.0,84,5,5.95,1.62 (0.44-2.80),79,94.05,2.77 (2.43-3.12),3.09,3.42
