tipo_celular,module_size,MYL12B_MM,MYL12B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.142,44.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,506.0,0.261,70.0,225,10,4.44,2.52 (1.32-3.71),215,95.56,3.65 (3.40-3.91),23.33,7.19
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.22,68.0,251,4,1.59,4.53 (4.14-4.92),247,98.41,4.05 (3.81-4.30),2.90,6.21
GABA neurons expressing GLU receptors 22,848.0,0.274,70.0,262,9,3.44,3.21 (1.86-4.56),253,96.56,4.18 (3.93-4.43),12.84,3.79
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.355,89.0,410,9,2.2,3.21 (1.86-4.56),401,97.8,4.27 (4.08-4.45),22.94,7.17
GABA neurons expressing GABA receptors 13,417.0,0.119,17.0,213,13,6.1,1.72 (0.63-2.81),200,93.9,3.87 (3.63-4.11),11.70,9.55
endothelial cells 9,559.0,0.388,91.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,250.0,0.136,27.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.448,84.0,455,14,3.08,1.86 (0.76-2.95),441,96.92,4.42 (4.24-4.60),33.07,8.07
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.052,17.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06),15.12,7.38
oligodendrocytes 10,735.0,0.265,96.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,101.0,0.263,30.0,116,12,10.34,3.46 (2.49-4.43),104,89.66,4.73 (4.29-5.17),3.56,3.18
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,313.0,0.193,40.0,291,6,2.06,3.17 (1.79-4.55),285,97.94,4.36 (4.13-4.58),2.46,3.84
da neurons 6,409.0,0.217,82.0,235,3,1.28,3.50 (2.29-4.71),232,98.72,3.98 (3.73-4.24),7.41,4.38
astrocytes microglia 23,92.0,0.331,55.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,116.0,0.11,23.0,169,3,1.78,4.04 (2.43-5.65),166,98.22,4.28 (3.98-4.58),3.61,6.54
microglia 1,214.0,0.143,33.0,227,8,3.52,3.92 (3.42-4.43),219,96.48,4.10 (3.85-4.34),18.03,5.69
oligodendrocytes 3,457.0,0.182,76.0,345,13,3.77,3.80 (3.16-4.43),332,96.23,4.29 (4.08-4.51),17.15,5.24
oligodendrocytes 2,528.0,0.162,25.0,175,7,4.0,3.80 (3.17-4.43),168,96.0,4.39 (4.04-4.75),19.41,4.00
