tipo_celular,module_size,AHDC1_MM,AHDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.096,9.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.119,65.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,12,3.4,1.12 (0.51-1.74),341,96.6,4.01 (3.83-4.19),38.32,7.00
GABA neurons expressing GLU receptors 22,1069.0,0.231,88.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.107,29.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,200.0,0.096,10.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.104,24.0,54,1,1.85,5.15 (NA-NA),53,98.15,4.83 (4.19-5.47),1.57,5.10
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.232,91.0,74,3,4.05,2.94 (1.74-4.14),71,95.95,2.94 (2.55-3.33),2.54,10.84
astrocytes 8,1266.0,0.143,85.0,66,7,10.61,1.50 (0.35-2.65),59,89.39,3.47 (3.06-3.88),3.59,2.88
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,7,2.54,1.71 (0.81-2.60),269,97.46,3.60 (3.38-3.81),11.87,4.93
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,118.0,0.266,31.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1401.0,0.104,66.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,52.0,0.235,2.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
astrocytes 4,251.0,0.158,47.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,813.0,0.094,21.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
