tipo_celular,module_size,RPAIN_MM,RPAIN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.237,66.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,393.0,0.124,30.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59),2.61,5.44
astrocytes 5,1656.0,0.122,61.0,136,1,0.74,4.54 (NA-NA),135,99.26,3.20 (2.93-3.47),3.32,5.00
oligodendrocyte progenitor cells 7,4285.0,0.124,33.0,353,38,10.76,2.51 (2.00-3.02),315,89.24,4.08 (3.89-4.27),24.71,6.06
GABA neurons expressing GLU receptors 22,203.0,0.324,70.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247.0,0.098,23.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30),2.65,3.27
da like neurons 11,1220.0,0.083,8.0,410,12,2.93,3.24 (2.54-3.94),398,97.07,4.29 (4.10-4.48),12.00,7.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.109,17.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,348.0,0.323,91.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2402.0,0.146,23.0,455,25,5.49,2.56 (1.97-3.16),430,94.51,4.49 (4.30-4.68),23.61,7.98
astrocytes 8,520.0,0.033,3.0,288,14,4.86,3.15 (2.59-3.70),274,95.14,4.24 (4.03-4.45),11.33,4.35
oligodendrocyte progenitor cells 12,708.0,0.281,85.0,32,10,31.25,1.73 (0.69-2.76),22,68.75,3.96 (3.03-4.90),3.40,2.23
oligodendrocytes 10,735.0,0.049,12.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,96.0,0.293,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.071,35.0,96,5,5.21,2.21 (1.21-3.21),91,94.79,3.69 (3.22-4.15),5.19,3.72
oligodendrocytes 16,92.0,0.293,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.11,28.0,182,3,1.65,2.51 (0.66-4.36),179,98.35,3.66 (3.41-3.91),3.90,8.60
astrocytes microglia 23,58.0,0.313,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.154,68.0,104,14,13.46,2.28 (1.54-3.03),90,86.54,2.95 (2.65-3.25),13.43,4.15
oligodendrocytes 0,2078.0,0.121,63.0,238,10,4.2,3.35 (2.25-4.44),228,95.8,3.65 (3.42-3.87),7.70,4.90
microglia 1,1615.0,0.072,4.0,161,18,11.18,1.52 (0.98-2.07),143,88.82,3.53 (3.26-3.80),16.72,4.01
oligodendrocytes 3,743.0,0.054,11.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.129,25.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
