tipo_celular,module_size,CLCN4_MM,CLCN4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.112,11.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,296.0,0.157,34.0,251,6,2.39,2.94 (2.36-3.52),245,97.61,4.10 (3.86-4.34),3.68,6.21
GABA neurons expressing GLU receptors 22,848.0,0.213,51.0,262,28,10.69,3.42 (2.94-3.90),234,89.31,4.27 (4.00-4.54),5.38,3.95
GLU like neurons 17,380.0,0.235,87.0,39,3,7.69,2.47 (1.34-3.59),36,92.31,3.01 (2.42-3.61),2.26,2.60
da like neurons 11,1220.0,0.199,56.0,410,32,7.8,3.26 (2.90-3.61),378,92.2,4.36 (4.16-4.56),9.25,7.37
GABA neurons expressing GABA receptors 13,357.0,0.165,51.0,237,8,3.38,3.66 (3.10-4.22),229,96.62,4.42 (4.18-4.66),2.76,4.23
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.132,21.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402.0,0.227,50.0,455,34,7.47,3.08 (2.53-3.63),421,92.53,4.48 (4.29-4.67),18.72,8.04
astrocytes 8,771.0,0.18,62.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.084,34.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.234,69.0,261,33,12.64,3.59 (3.18-3.99),228,87.36,4.50 (4.23-4.77),7.53,5.85
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.036,6.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,313.0,0.162,25.0,291,30,10.31,3.13 (2.77-3.49),261,89.69,4.49 (4.25-4.73),5.74,3.59
da neurons 6,300.0,0.125,37.0,159,7,4.4,4.01 (3.75-4.28),152,95.6,4.39 (4.06-4.71),4.62,3.69
astrocytes microglia 23,37.0,0.27,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.132,27.0,104,12,11.54,2.63 (1.82-3.45),92,88.46,2.89 (2.59-3.20),7.24,5.16
oligodendrocytes 0,613.0,0.256,97.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.13,77.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94),5.85,4.16
oligodendrocytes 2,528.0,0.283,81.0,175,26,14.86,3.60 (3.25-3.96),149,85.14,4.59 (4.17-5.02),8.70,3.91
