tipo_celular,module_size,PLCE1_MM,PLCE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.211,79.0,32,2,6.25,4.73 (4.73-4.73),30,93.75,5.06 (4.51-5.60),4.33,3.76
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,24,6.8,2.29 (1.62-2.97),329,93.2,4.02 (3.84-4.21),16.23,7.47
GABA neurons expressing GLU receptors 22,1069.0,0.177,59.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,489.0,0.304,91.0,42,6,14.29,4.93 (4.05-5.80),36,85.71,6.26 (5.63-6.88),4.02,3.08
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.493,89.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53),3.67,4.22
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.149,46.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),3.72,10.69
astrocytes 8,577.0,0.112,66.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75),2.86,4.51
oligodendrocyte progenitor cells 12,3303.0,0.123,91.0,276,17,6.16,2.38 (1.60-3.17),259,93.84,3.64 (3.42-3.86),8.20,4.91
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,183.0,0.406,87.0,32,4,12.5,3.98 (0.84-7.12),28,87.5,5.24 (4.61-5.88),1.83,2.79
astrocytes 15,1401.0,0.129,82.0,96,13,13.54,3.94 (2.96-4.93),83,86.46,3.56 (3.06-4.06),2.75,3.96
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.293,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.225,79.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
