tipo_celular,module_size,TBPL1_MM,TBPL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.05,3.0,84,2,2.38,2.57 (2.15-2.99),82,97.62,2.98 (2.65-3.32),1.94,4.38
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.133,24.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,823.0,0.177,48.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1316.0,0.111,39.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,89.0,0.233,45.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.129,69.0,275,15,5.45,1.43 (1.18-1.69),260,94.55,4.17 (3.91-4.43),16.06,5.30
oligodendrocytes 20,322.0,0.172,69.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.193,89.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.112,52.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05),NA,2.60
oligodendrocytes 10,735.0,0.099,51.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,136.0,0.353,79.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,155.0,0.295,85.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56),NA,1.65
da neurons 6,228.0,0.07,13.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,58.0,0.213,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.107,34.0,238,5,2.1,1.83 (0.92-2.73),233,97.9,3.68 (3.46-3.90),11.14,4.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.074,39.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.138,43.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
