tipo_celular,module_size,MMP16_MM,MMP16_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.169,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.129,50.0,219,4,1.83,2.97 (2.40-3.54),215,98.17,5.27 (4.99-5.56),10.52,4.50
GABA neurons expressing GLU receptors 22,714.0,0.105,9.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03),2.53,3.79
GLU like neurons 17,685.0,0.132,51.0,135,12,8.89,1.73 (1.09-2.38),123,91.11,3.36 (3.04-3.68),4.09,3.72
da like neurons 11,197.0,0.427,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.206,51.0,306,16,5.23,2.72 (2.17-3.27),290,94.77,5.29 (5.03-5.56),7.88,6.64
astrocytes 8,727.0,0.155,75.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,411.0,0.312,74.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97),4.24,3.07
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.114,74.0,105,19,18.1,1.83 (1.41-2.25),86,81.9,3.55 (3.18-3.92),7.05,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.099,4.0,95,1,1.05,4.95 (NA-NA),94,98.95,3.35 (2.92-3.77),6.10,4.63
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
