tipo_celular,module_size,EI24_MM,EI24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.108,10.0,164,2,1.22,2.52 (0.11-4.92),162,98.78,4.11 (3.78-4.44),10.01,7.50
GABA neurons expressing GLU receptors 22,487.0,0.192,41.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.189,53.0,410,10,2.44,4.22 (2.98-5.46),400,97.56,4.25 (4.06-4.44),7.83,7.51
GABA neurons expressing GABA receptors 13,238.0,0.133,30.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,559.0,0.109,29.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,271.0,0.171,49.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2402.0,0.244,54.0,455,14,3.08,2.38 (1.06-3.70),441,96.92,4.43 (4.25-4.61),31.16,8.13
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,8,2.9,1.76 (0.99-2.54),268,97.1,3.61 (3.39-3.83),9.06,4.99
oligodendrocytes 10,806.0,0.118,34.0,261,4,1.53,2.67 (1.57-3.77),257,98.47,4.40 (4.16-4.64),7.30,6.05
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.203,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.102,29.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,125.0,0.353,72.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.108,37.0,238,5,2.1,4.61 (2.07-7.16),233,97.9,3.61 (3.39-3.83),7.89,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.102,74.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,528.0,0.192,45.0,175,6,3.43,3.37 (2.50-4.24),169,96.57,4.43 (4.07-4.80),5.20,4.60
