tipo_celular,module_size,PPP4R2_MM,PPP4R2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.164,27.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52),1.33,5.50
T cells 18,624.0,0.153,50.0,142,4,2.82,3.03 (2.67-3.40),138,97.18,3.21 (2.94-3.48),4.55,4.29
astrocytes 5,1656.0,0.131,76.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49),5.11,4.99
oligodendrocyte progenitor cells 7,4285.0,0.163,89.0,353,45,12.75,2.11 (1.73-2.48),308,87.25,4.22 (4.04-4.41),25.31,5.54
GABA neurons expressing GLU receptors 22,567.0,0.158,35.0,16,2,12.5,3.25 (0.69-5.82),14,87.5,1.76 (1.12-2.40),2.11,3.85
GLU like neurons 17,380.0,0.226,84.0,39,1,2.56,1.71 (NA-NA),38,97.44,3.00 (2.44-3.56),2.61,2.57
da like neurons 11,289.0,0.144,35.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.121,45.0,297,8,2.69,3.39 (2.73-4.06),289,97.31,3.68 (3.47-3.89),5.30,5.52
oligodendrocytes 20,938.0,0.046,11.0,169,3,1.78,0.91 (-0.15-1.96),166,98.22,3.54 (3.32-3.75),7.54,5.32
GABA like neurons 14,3052.0,0.13,42.0,125,6,4.8,3.45 (2.72-4.18),119,95.2,3.35 (3.01-3.68),4.61,8.81
astrocytes 8,771.0,0.184,63.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.177,72.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.156,54.0,358,51,14.25,2.07 (1.73-2.42),307,85.75,4.27 (4.08-4.45),25.89,6.74
connective tissue cells 21,111.0,0.232,23.0,26,1,3.85,1.71 (NA-NA),25,96.15,2.57 (1.88-3.26),2.20,2.17
astrocytes 15,377.0,0.211,85.0,14,9,64.29,1.90 (0.46-3.34),5,35.71,2.49 (0.01-4.97),2.62,2.15
oligodendrocytes 16,71.0,0.23,62.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.295,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.175,89.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),1.94,5.81
oligodendrocytes 0,613.0,0.251,97.0,127,13,10.24,2.49 (1.97-3.00),114,89.76,3.16 (2.68-3.64),4.16,6.52
microglia 1,958.0,0.141,84.0,290,13,4.48,2.45 (1.59-3.32),277,95.52,3.89 (3.66-4.12),4.56,5.02
oligodendrocytes 3,681.0,0.2,96.0,87,31,35.63,1.95 (1.62-2.29),56,64.37,2.98 (2.63-3.33),5.99,3.27
oligodendrocytes 2,921.0,0.194,98.0,200,6,3.0,2.66 (2.19-3.13),194,97.0,3.65 (3.37-3.92),3.51,3.46
