tipo_celular,module_size,RIPOR1_MM,RIPOR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.102,12.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.098,23.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48),2.54,5.01
oligodendrocyte progenitor cells 7,4285.0,0.092,6.0,353,28,7.93,2.38 (1.86-2.90),325,92.07,4.06 (3.87-4.25),22.50,6.82
GABA neurons expressing GLU receptors 22,1069.0,0.139,31.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1316.0,0.1,28.0,101,2,1.98,4.12 (3.98-4.25),99,98.02,3.02 (2.67-3.38),1.93,3.08
da like neurons 11,215.0,0.136,29.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.183,60.0,155,2,1.29,4.90 (4.34-5.46),153,98.71,4.33 (3.96-4.70),1.80,4.36
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.136,20.0,455,38,8.35,3.66 (2.91-4.41),417,91.65,4.42 (4.23-4.61),21.02,7.72
astrocytes 8,603.0,0.062,37.0,89,1,1.12,2.80 (NA-NA),88,98.88,2.76 (2.40-3.12),3.48,6.07
oligodendrocyte progenitor cells 12,3303.0,0.023,1.0,276,20,7.25,2.68 (2.16-3.21),256,92.75,3.63 (3.40-3.86),8.57,4.84
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,111.0,0.355,84.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.043,14.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76),1.92,1.55
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.31,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.142,45.0,104,9,8.65,2.35 (1.31-3.39),95,91.35,2.92 (2.62-3.21),8.96,5.06
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,346.0,0.077,4.0,43,1,2.33,3.91 (NA-NA),42,97.67,3.76 (3.24-4.28),3.27,4.51
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
