tipo_celular,module_size,MPRIP_MM,MPRIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.222,59.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,282,0.238,88.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,932,0.097,32.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.079,2.0,353,9,2.55,1.24 (0.55-1.93),344,97.45,3.98 (3.80-4.16),34.18,7.38
GABA neurons expressing GLU receptors 22,203,0.303,63.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247,0.131,48.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853,0.178,76.0,133,5,3.76,1.49 (0.37-2.61),128,96.24,3.34 (3.02-3.65),5.42,4.11
GABA neurons expressing GABA receptors 13,77,0.152,39.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,303,0.183,50.0,54,4,7.41,4.29 (NA-NA),50,92.59,4.85 (4.21-5.50),3.80,5.13
oligodendrocytes 20,298,0.148,52.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300,0.105,10.0,306,10,3.27,4.14 (2.98-5.29),296,96.73,5.13 (4.86-5.39),6.98,6.70
astrocytes 8,1266,0.119,77.0,66,7,10.61,1.81 (0.68-2.94),59,89.39,3.42 (3.00-3.85),4.67,2.75
oligodendrocyte progenitor cells 12,218,0.366,80.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,1277,0.094,41.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,152,0.208,22.0,21,1,4.76,7.00 (NA-NA),20,95.24,5.03 (3.61-6.45),4.30,2.12
astrocytes 15,1768,0.156,93.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59),4.52,3.97
oligodendrocytes 16,71,0.189,58.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,448,0.1,49.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,253,0.252,47.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,251,0.169,54.0,34,1,2.94,4.70 (NA-NA),33,97.06,5.27 (4.63-5.91),3.27,3.07
oligodendrocytes 0,1186,0.156,69.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,958,0.17,94.0,290,3,1.03,1.57 (1.57-1.57),287,98.97,3.83 (3.60-4.06),4.64,5.00
oligodendrocytes 3,1003,0.101,55.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,407,0.147,42.0,122,8,6.56,1.28 (0.50-2.05),114,93.44,3.52 (3.12-3.91),3.77,2.63
