tipo_celular,module_size,LGR4_MM,LGR4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.17,46.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.125,24.0,58,17,29.31,3.00 (2.53-3.48),41,70.69,4.80 (4.32-5.27),2.17,2.38
oligodendrocyte progenitor cells 7,200.0,0.189,56.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,567.0,0.174,43.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,1316.0,0.101,29.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,408.0,0.145,42.0,25,4,16.0,1.16 (0.64-1.68),21,84.0,5.48 (4.15-6.81),1.99,2.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.256,83.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.17,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.056,21.0,66,6,9.09,2.49 (1.28-3.70),60,90.91,3.31 (2.87-3.76),2.60,2.99
oligodendrocyte progenitor cells 12,708.0,0.151,66.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.156,75.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,183.0,0.287,58.0,32,3,9.38,3.63 (0.92-6.34),29,90.62,5.28 (4.64-5.92),1.72,2.77
astrocytes 15,1768.0,0.184,98.0,105,10,9.52,1.40 (0.89-1.91),95,90.48,3.42 (3.08-3.76),4.75,3.90
oligodendrocytes 16,81.0,0.13,17.0,3,0,0.0,NA,3,100.0,NA,NA,2.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.27,42.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,171.0,0.214,69.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,613.0,0.161,68.0,127,7,5.51,1.92 (1.49-2.35),120,94.49,3.16 (2.72-3.60),2.94,6.47
microglia 1,1615.0,0.108,48.0,161,16,9.94,1.92 (1.37-2.46),145,90.06,3.46 (3.18-3.74),5.11,5.47
oligodendrocytes 3,681.0,0.166,90.0,87,18,20.69,2.20 (1.71-2.68),69,79.31,2.70 (2.38-3.01),3.62,4.41
oligodendrocytes 2,347.0,0.289,83.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
