tipo_celular,module_size,MPHOSPH9_MM,MPHOSPH9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.04,0.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,624.0,0.226,91.0,142,3,2.11,3.79 (NA-NA),139,97.89,3.20 (2.94-3.47),5.81,4.26
astrocytes 5,499.0,0.089,5.0,32,5,15.62,4.61 (4.36-4.87),27,84.38,5.12 (4.52-5.72),4.71,3.62
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,26,7.37,2.08 (1.45-2.70),327,92.63,4.06 (3.88-4.25),19.97,7.12
GABA neurons expressing GLU receptors 22,599.0,0.148,20.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,300.0,0.169,32.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,265.0,0.166,40.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.028,7.0,110,15,13.64,3.46 (2.39-4.53),95,86.36,5.30 (4.84-5.76),3.44,3.54
GABA like neurons 14,2090.0,0.197,78.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260.0,0.141,60.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303.0,0.117,87.0,276,17,6.16,2.85 (1.98-3.71),259,93.84,3.59 (3.37-3.82),4.29,5.16
oligodendrocytes 10,2107.0,0.184,64.0,358,26,7.26,1.70 (1.10-2.30),332,92.74,4.07 (3.88-4.25),17.27,8.86
connective tissue cells 21,102.0,0.34,80.0,5,2,40.0,1.57 (1.57-1.57),3,60.0,1.01 (NA-NA),1.32,1.47
astrocytes 15,1768.0,0.117,77.0,105,8,7.62,1.71 (1.09-2.34),97,92.38,3.35 (3.00-3.69),3.62,4.01
oligodendrocytes 16,84.0,0.247,84.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,95.0,0.278,21.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,721.0,0.157,60.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078.0,0.135,88.0,238,4,1.68,1.92 (0.13-3.70),234,98.32,3.66 (3.44-3.88),5.89,5.01
microglia 1,1615.0,0.111,52.0,161,14,8.7,1.66 (0.64-2.68),147,91.3,3.45 (3.19-3.71),11.37,4.87
oligodendrocytes 3,639.0,0.061,18.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,804.0,0.115,10.0,84,11,13.1,2.59 (1.57-3.62),73,86.9,2.70 (2.35-3.06),2.37,3.55
