tipo_celular,module_size,CHSY3_MM,CHSY3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.17,55.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,20,5.67,1.53 (1.01-2.05),333,94.33,4.08 (3.90-4.25),32.22,6.61
GABA neurons expressing GLU receptors 22,714.0,0.287,89.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,191.0,0.441,83.0,93,1,1.08,1.29 (NA-NA),92,98.92,5.71 (5.32-6.10),1.90,4.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.309,68.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,322.0,0.301,92.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300.0,0.244,67.0,306,4,1.31,1.87 (0.50-3.24),302,98.69,5.16 (4.90-5.42),3.21,6.75
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.114,85.0,276,9,3.26,1.73 (1.18-2.28),267,96.74,3.62 (3.40-3.84),12.36,4.87
oligodendrocytes 10,2107.0,0.137,46.0,358,16,4.47,1.20 (0.74-1.67),342,95.53,4.03 (3.85-4.21),35.44,8.26
connective tissue cells 21,84.0,0.288,54.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.26,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,53.0,0.291,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.12,16.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,813.0,0.131,66.0,79,3,3.8,2.28 (1.65-2.91),76,96.2,3.14 (2.72-3.55),4.93,8.02
oligodendrocytes 3,681.0,0.164,90.0,87,8,9.2,1.07 (0.73-1.40),79,90.8,2.75 (2.48-3.02),5.36,4.13
oligodendrocytes 2,921.0,0.153,76.0,200,4,2.0,1.81 (1.43-2.19),196,98.0,3.67 (3.40-3.94),3.98,3.45
