tipo_celular,module_size,SEMA6A_MM,SEMA6A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.191,73.0,80,3,3.75,3.37 (1.09-5.65),77,96.25,3.40 (2.92-3.89),2.70,5.11
oligodendrocyte progenitor cells 7,4285.0,0.098,8.0,353,8,2.27,1.71 (1.09-2.33),345,97.73,3.95 (3.77-4.14),9.96,8.02
GABA neurons expressing GLU receptors 22,1069.0,0.268,97.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,637.0,0.216,67.0,91,14,15.38,3.03 (2.27-3.80),77,84.62,4.93 (4.35-5.52),3.22,3.03
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288.0,0.282,82.0,93,48,51.61,4.87 (4.20-5.54),45,48.39,5.57 (4.86-6.28),5.19,2.62
endothelial cells 9,658.0,0.353,87.0,120,51,42.5,4.57 (4.10-5.04),69,57.5,4.64 (4.21-5.07),4.22,3.24
oligodendrocytes 20,676.0,0.346,61.0,110,46,41.82,4.81 (4.16-5.47),64,58.18,5.19 (4.59-5.79),4.49,2.83
GABA like neurons 14,3052.0,0.18,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.287,79.0,48,9,18.75,6.72 (4.95-8.49),39,81.25,3.84 (3.14-4.54),3.28,3.11
oligodendrocyte progenitor cells 12,708.0,0.117,53.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,236.0,0.717,100.0,82,38,46.34,5.17 (4.57-5.76),44,53.66,4.84 (4.01-5.67),2.93,4.62
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.145,88.0,96,11,11.46,4.32 (3.12-5.51),85,88.54,3.50 (3.02-3.98),3.47,3.84
oligodendrocytes 16,287.0,0.374,70.0,105,61,58.1,4.87 (4.26-5.48),44,41.9,5.56 (5.13-5.98),3.65,3.22
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,57.0,0.259,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.226,68.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92),3.45,4.69
oligodendrocytes 0,261.0,0.251,89.0,42,22,52.38,3.72 (2.74-4.70),20,47.62,4.50 (3.55-5.44),2.22,2.34
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,99.0,0.244,61.0,24,12,50.0,7.40 (6.72-8.08),12,50.0,5.20 (4.66-5.75),2.32,2.13
oligodendrocytes 2,237.0,0.156,21.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
