tipo_celular,module_size,AFG1L_MM,AFG1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.23,64.0,21,7,33.33,0.85 (0.30-1.41),14,66.67,3.08 (2.51-3.65),2.45,1.78
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.12,33.0,166,10,6.02,1.72 (0.85-2.59),156,93.98,3.52 (3.27-3.77),5.57,4.48
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,23,6.52,1.52 (1.09-1.96),330,93.48,4.11 (3.93-4.28),28.95,6.61
GABA neurons expressing GLU receptors 22,714.0,0.286,89.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,489.0,0.118,35.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,89.0,0.373,73.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.071,15.0,36,1,2.78,1.01 (NA-NA),35,97.22,1.95 (1.59-2.30),4.42,3.09
GABA like neurons 14,2090.0,0.169,60.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,262.0,0.228,84.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.087,60.0,276,13,4.71,2.18 (1.54-2.83),263,95.29,3.63 (3.41-3.85),11.82,4.78
oligodendrocytes 10,2107.0,0.201,69.0,358,21,5.87,1.59 (1.06-2.12),337,94.13,4.06 (3.87-4.24),27.72,8.34
connective tissue cells 21,118.0,0.402,98.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1768.0,0.036,5.0,105,16,15.24,1.84 (1.30-2.39),89,84.76,3.46 (3.10-3.82),6.01,3.61
oligodendrocytes 16,88.0,0.196,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.299,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.155,56.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,2078.0,0.103,27.0,238,3,1.26,1.65 (0.22-3.08),235,98.74,3.67 (3.45-3.89),10.17,4.96
microglia 1,1615.0,0.08,10.0,161,17,10.56,1.30 (0.78-1.81),144,89.44,3.56 (3.31-3.82),12.07,4.65
oligodendrocytes 3,854.0,0.121,78.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804.0,0.134,29.0,84,9,10.71,1.95 (1.16-2.73),75,89.29,2.80 (2.44-3.16),3.16,3.42
