tipo_celular,module_size,FEM1B_MM,FEM1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.121,18.0,98,3,3.06,0.67 (0.43-0.90),95,96.94,3.29 (2.82-3.76),7.60,13.64
T cells 18,727.0,0.092,12.0,49,1,2.04,4.44 (NA-NA),48,97.96,2.38 (1.99-2.78),3.03,6.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,45,12.75,2.49 (2.10-2.88),308,87.25,4.17 (3.98-4.36),26.48,5.37
GABA neurons expressing GLU receptors 22,703.0,0.349,99.0,23,3,13.04,2.93 (1.07-4.79),20,86.96,1.96 (1.19-2.73),3.29,4.02
GLU like neurons 17,685.0,0.152,61.0,135,27,20.0,2.82 (2.31-3.32),108,80.0,3.31 (2.94-3.67),3.96,3.70
da like neurons 11,1220.0,0.187,52.0,410,21,5.12,3.53 (2.94-4.12),389,94.88,4.30 (4.11-4.50),7.96,7.49
GABA neurons expressing GABA receptors 13,200.0,0.138,40.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88),1.78,3.60
endothelial cells 9,385.0,0.122,64.0,275,45,16.36,2.61 (2.21-3.01),230,83.64,4.37 (4.08-4.66),9.23,5.23
oligodendrocytes 20,250.0,0.111,20.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.182,84.0,125,3,2.4,3.55 (2.68-4.42),122,97.6,3.35 (3.01-3.68),5.84,8.68
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.073,26.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.12,35.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,111.0,0.297,59.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.264,80.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,553.0,0.176,76.0,124,2,1.61,2.28 (-1.40-5.95),122,98.39,4.23 (3.83-4.62),3.10,3.03
astrocytes microglia 23,116.0,0.286,27.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.168,71.0,127,9,7.09,2.78 (2.17-3.40),118,92.91,3.08 (2.62-3.54),5.01,6.37
microglia 1,346.0,0.125,34.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,743.0,0.091,62.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.212,57.0,175,4,2.29,4.42 (4.19-4.64),171,97.71,4.38 (4.01-4.74),1.89,4.68
