tipo_celular,module_size,DYNC2LI1_MM,DYNC2LI1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.139,62.0,166,13,7.83,2.89 (1.65-4.13),153,92.17,3.43 (3.18-3.68),3.68,4.62
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,32,9.07,2.38 (1.78-2.98),321,90.93,4.07 (3.88-4.25),19.48,6.93
GABA neurons expressing GLU receptors 22,823.0,0.255,88.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12),2.40,3.52
GLU like neurons 17,1316.0,0.145,68.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,89.0,0.066,5.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.055,26.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.151,61.0,125,6,4.8,4.34 (3.93-4.76),119,95.2,3.31 (2.98-3.64),3.40,8.88
astrocytes 8,727.0,0.074,27.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303.0,0.094,69.0,276,26,9.42,2.94 (2.28-3.59),250,90.58,3.62 (3.39-3.85),7.16,4.90
oligodendrocytes 10,1277.0,0.06,17.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,139.0,0.36,79.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,377.0,0.152,50.0,14,7,50.0,2.27 (0.54-4.01),7,50.0,2.00 (0.02-3.98),3.00,1.90
oligodendrocytes 16,64.0,0.152,26.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.314,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.163,73.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078.0,0.13,82.0,238,5,2.1,1.79 (0.71-2.87),233,97.9,3.67 (3.45-3.89),8.49,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.09,44.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.142,50.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
