tipo_celular,module_size,RAP1GAP2_MM,RAP1GAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.325,93.0,73,2,2.74,2.98 (2.59-3.37),71,97.26,3.58 (3.23-3.94),3.75,3.21
T cells 18,393.0,0.371,93.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,932.0,0.089,20.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,823.0,0.214,73.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12),2.40,3.52
GLU like neurons 17,1247.0,0.345,100.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.405,100.0,133,9,6.77,1.10 (0.42-1.78),124,93.23,3.44 (3.13-3.75),6.11,4.02
GABA neurons expressing GABA receptors 13,238.0,0.125,25.0,36,1,2.78,5.16 (NA-NA),35,97.22,3.83 (3.30-4.37),1.45,17.67
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.327,94.0,306,20,6.54,3.16 (2.43-3.90),286,93.46,5.29 (5.02-5.55),6.65,6.71
astrocytes 8,1266.0,0.083,51.0,66,21,31.82,2.46 (1.61-3.30),45,68.18,3.61 (3.19-4.03),3.51,2.69
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.046,18.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.087,18.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64),2.89,3.03
astrocytes microglia 23,100.0,0.26,31.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96),NA,1.72
astrocytes 4,1807.0,0.096,2.0,104,6,5.77,1.43 (0.25-2.61),98,94.23,2.96 (2.68-3.24),12.31,4.97
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.147,88.0,161,18,11.18,2.24 (1.29-3.20),143,88.82,3.42 (3.16-3.69),11.31,4.69
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
