tipo_celular,module_size,BRD8_MM,BRD8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.19,77.0,142,7,4.93,3.42 (2.90-3.94),135,95.07,3.20 (2.92-3.48),2.42,4.39
astrocytes 5,1656.0,0.105,33.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54),8.04,4.90
oligodendrocyte progenitor cells 7,4285.0,0.124,33.0,353,76,21.53,2.43 (2.15-2.70),277,78.47,4.44 (4.25-4.62),18.31,5.25
GABA neurons expressing GLU receptors 22,487.0,0.33,83.0,73,8,10.96,2.27 (1.35-3.18),65,89.04,2.83 (2.41-3.24),2.04,7.98
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,168.0,0.143,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.054,3.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,322.0,0.141,59.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,3052.0,0.117,31.0,125,5,4.0,3.51 (3.07-3.95),120,96.0,3.34 (3.00-3.68),4.40,8.79
astrocytes 8,727.0,0.078,30.0,29,4,13.79,3.28 (2.24-4.31),25,86.21,2.20 (1.67-2.73),2.39,3.73
oligodendrocyte progenitor cells 12,3303.0,0.06,27.0,276,60,21.74,2.31 (2.07-2.55),216,78.26,4.02 (3.77-4.27),9.24,3.96
oligodendrocytes 10,735.0,0.041,7.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,111.0,0.312,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.18,70.0,14,1,7.14,NA,13,92.86,1.77 (1.03-2.51),1.76,6.02
oligodendrocytes 16,74.0,0.183,43.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,76.0,0.27,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.161,81.0,104,30,28.85,1.99 (1.58-2.40),74,71.15,3.26 (2.93-3.58),10.39,3.37
oligodendrocytes 0,2078.0,0.114,48.0,238,19,7.98,2.65 (2.21-3.09),219,92.02,3.73 (3.50-3.97),5.87,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.055,12.0,87,58,66.67,2.21 (1.96-2.46),29,33.33,3.36 (2.80-3.91),4.87,2.98
oligodendrocytes 2,1630.0,0.153,74.0,154,5,3.25,2.94 (2.32-3.57),149,96.75,3.26 (2.98-3.53),2.86,3.62
