tipo_celular,module_size,JADE1_MM,JADE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.172,46.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656.0,0.113,45.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54),8.04,4.90
oligodendrocyte progenitor cells 7,4285.0,0.157,81.0,353,72,20.4,2.28 (2.00-2.55),281,79.6,4.42 (4.24-4.60),19.92,5.03
GABA neurons expressing GLU receptors 22,848.0,0.251,64.0,262,12,4.58,2.21 (1.39-3.03),250,95.42,4.29 (4.05-4.54),4.79,4.07
GLU like neurons 17,1316.0,0.168,82.0,101,2,1.98,2.73 (2.33-3.12),99,98.02,3.06 (2.70-3.42),2.50,3.07
da like neurons 11,87.0,0.181,24.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.146,33.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,403.0,0.043,12.0,18,11,61.11,1.09 (0.59-1.60),7,38.89,3.11 (2.07-4.15),4.45,2.76
GABA like neurons 14,3052.0,0.164,72.0,125,8,6.4,3.83 (3.43-4.22),117,93.6,3.32 (2.98-3.66),4.73,8.88
astrocytes 8,727.0,0.096,42.0,29,4,13.79,3.84 (3.40-4.27),25,86.21,2.10 (1.60-2.60),1.90,3.81
oligodendrocyte progenitor cells 12,3303.0,0.033,3.0,276,54,19.57,2.33 (2.03-2.63),222,80.43,3.92 (3.68-4.16),10.19,3.87
oligodendrocytes 10,483.0,0.085,34.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,103.0,0.349,85.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1768.0,0.09,53.0,105,28,26.67,2.08 (1.64-2.53),77,73.33,3.63 (3.24-4.01),6.09,3.21
oligodendrocytes 16,156.0,0.279,90.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.299,42.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.146,54.0,104,33,31.73,2.05 (1.65-2.45),71,68.27,3.25 (2.92-3.58),9.84,3.33
oligodendrocytes 0,2078.0,0.103,26.0,238,19,7.98,2.71 (2.21-3.21),219,92.02,3.72 (3.49-3.95),6.90,4.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.084,55.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.174,97.0,154,4,2.6,3.83 (3.36-4.29),150,97.4,3.23 (2.96-3.50),1.90,3.64
